"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","time_elapsed","internal_node_id","rt","response","view_history","scenario","ask_size","interaction_history","buttons","button_pressed","correct","stimulus"
"true","false","[]","[]","[]","preload","0","458","0.0-0.0","","","","","","","","","",""
"","","","","","survey-text","1","40286","0.0-1.0","39824","{""Q0"":""p048""}","","","","","","","",""
"","","","","","instructions","2","55102","0.0-2.0","14814","","[{""page_index"":0,""viewing_time"":14814}]","","","","","","",""
"","","","","","instructions","3","70613","0.0-3.0-0.0","15511","","[{""page_index"":0,""viewing_time"":7782},{""page_index"":1,""viewing_time"":3435},{""page_index"":2,""viewing_time"":4294}]","","","","","","",""
"","","","","","KiN_response","4","79839","0.0-3.0-1.0","","Can I get crayons?","","warmup","","","[""Can I get crayons?"",""Can I get a teddy bear?""]","left","true",""
"","","","","","instructions","5","88441","0.0-3.0-2.0","8600","","[{""page_index"":0,""viewing_time"":5481},{""page_index"":1,""viewing_time"":3119}]","","","","","","",""
"","","","","","instructions","6","94953","0.0-5.0","6511","","[{""page_index"":0,""viewing_time"":6511}]","","","","","","",""
"","","","","","instructions","7","95669","0.0-6.0-0.0","713","","[{""page_index"":0,""viewing_time"":713}]","","","","","","",""
"","","","","","instructions","8","131832","0.0-6.0-1.0","36164","","[{""page_index"":0,""viewing_time"":20780},{""page_index"":1,""viewing_time"":3501},{""page_index"":2,""viewing_time"":4003},{""page_index"":3,""viewing_time"":4478},{""page_index"":4,""viewing_time"":3402}]","","","","","","",""
"","","","","","survey-text","9","175330","0.0-6.0-2.0","43482","{""Q0"":""cars""}","","","","","","","",""
"","","","","","instructions","10","183103","0.0-6.0-3.0","7773","","[{""page_index"":0,""viewing_time"":7773}]","","","","","","",""
"","","","","","KiN_response","11","192501","0.0-6.0-4.0","","alot","","activity","big","failed","[""alot"",""alittle""]","left","",""
"","","","","","instructions","12","216514","0.0-6.0-5.0","24013","","[{""page_index"":0,""viewing_time"":4717},{""page_index"":1,""viewing_time"":3695},{""page_index"":2,""viewing_time"":4337},{""page_index"":3,""viewing_time"":5440},{""page_index"":4,""viewing_time"":5824}]","","","","","","",""
"","","","","","KiN_response","13","228372","0.0-6.0-6.0","","If I clean my room, can I play five more rounds of games?","","activity","big","failed","[""Can I play five more rounds of games?"",""If I clean my room, can I play five more rounds of games?""]","right","",""
"","","","","","html-button-response","14","237657","0.0-6.0-7.0","9282","2","","","","","","","","
          <span style=""font-size: 2vw; font-weight:bold;"">Can I play five more rounds of games?</span><br><br>
          <img style = 'width: 10vw;' src=""stim/more-stim/activity-agent.png""> 
            "
"","","","","","instructions","15","239610","0.0-6.0-8.0","1953","","[{""page_index"":0,""viewing_time"":1953}]","","","","","","",""
"","","","","","html-button-response","16","251657","0.0-6.0-9.0","12044","0","","","","","","","","
          <span style=""font-size: 2vw; font-weight:bold;"">If I clean my room, can I play five more rounds of games?</span><br><br>
          <img style = 'width: 10vw;' src=""stim/more-stim/activity-agent.png""> 
        "
"","","","","","instructions","17","256820","0.0-6.0-10.0","5162","","[{""page_index"":0,""viewing_time"":5162}]","","","","","","",""
"","","","","","instructions","18","262039","0.0-6.0-0.1","5216","","[{""page_index"":0,""viewing_time"":5216}]","","","","","","",""
"","","","","","instructions","19","291665","0.0-6.0-1.1","29626","","[{""page_index"":0,""viewing_time"":13106},{""page_index"":1,""viewing_time"":3981},{""page_index"":2,""viewing_time"":3544},{""page_index"":3,""viewing_time"":4158},{""page_index"":4,""viewing_time"":4836}]","","","","","","",""
"","","","","","survey-text","20","302195","0.0-6.0-2.1","10520","{""Q0"":""2""}","","","","","","","",""
"","","","","","instructions","21","307841","0.0-6.0-3.1","5645","","[{""page_index"":0,""viewing_time"":5645}]","","","","","","",""
"","","","","","KiN_response","22","316829","0.0-6.0-4.1","","alittle","","food","small","failed","[""alot"",""alittle""]","right","",""
"","","","","","instructions","23","339309","0.0-6.0-5.1","22480","","[{""page_index"":0,""viewing_time"":3588},{""page_index"":1,""viewing_time"":3221},{""page_index"":2,""viewing_time"":3796},{""page_index"":3,""viewing_time"":5002},{""page_index"":4,""viewing_time"":6872}]","","","","","","",""
"","","","","","KiN_response","24","353617","0.0-6.0-6.1","","If I brush my teeth, can I have one more candy?","","food","small","failed","[""If I brush my teeth, can I have one more candy?"",""Can I have one more candy?""]","left","",""
"","","","","","html-button-response","25","368858","0.0-6.0-7.1","15240","0","","","","","","","","
          <span style=""font-size: 2vw; font-weight:bold;"">Can I have one more candy?</span><br><br>
          <img style = 'width: 10vw;' src=""stim/more-stim/food-agent.png""> 
            "
"","","","","","instructions","26","370372","0.0-6.0-8.1","1513","","[{""page_index"":0,""viewing_time"":1513}]","","","","","","",""
"","","","","","html-button-response","27","380482","0.0-6.0-9.1","10108","2","","","","","","","","
          <span style=""font-size: 2vw; font-weight:bold;"">If I brush my teeth, can I have one more candy?</span><br><br>
          <img style = 'width: 10vw;' src=""stim/more-stim/food-agent.png""> 
        "
"","","","","","instructions","28","395900","0.0-6.0-10.1","15418","","[{""page_index"":0,""viewing_time"":15417}]","","","","","","",""
"","","","","","instructions","29","401244","0.0-6.0-0.2","5344","","[{""page_index"":0,""viewing_time"":5343}]","","","","","","",""
"","","","","","instructions","30","422600","0.0-6.0-1.2","21357","","[{""page_index"":0,""viewing_time"":15001},{""page_index"":1,""viewing_time"":4128},{""page_index"":2,""viewing_time"":2228}]","","","","","","",""
"","","","","","survey-text","31","466791","0.0-6.0-2.2","44183","{""Q0"":""car""}","","","","","","","",""
"","","","","","instructions","32","475936","0.0-6.0-3.2","9144","","[{""page_index"":0,""viewing_time"":9144}]","","","","","","",""
"","","","","","KiN_response","33","487311","0.0-6.0-4.2","","alot","","toy","small","none","[""alot"",""alittle""]","left","",""
"","","","","","instructions","34","496040","0.0-6.0-5.2","8728","","[{""page_index"":0,""viewing_time"":4134},{""page_index"":1,""viewing_time"":4593}]","","","","","","",""
"","","","","","KiN_response","35","504892","0.0-6.0-6.2","","If I share my toys, can I get one more toy?","","toy","small","none","[""Can I get one more toy?"",""If I share my toys, can I get one more toy?""]","right","",""
"","","","","","html-button-response","36","513532","0.0-6.0-7.2","8638","0","","","","","","","","
          <span style=""font-size: 2vw; font-weight:bold;"">If I share my toys, can I get one more toy?</span><br><br>
          <img style = 'width: 10vw;' src=""stim/more-stim/toy-agent.png""> 
            "
"","","","","","instructions","37","514759","0.0-6.0-8.2","1227","","[{""page_index"":0,""viewing_time"":1226}]","","","","","","",""
"","","","","","html-button-response","38","522232","0.0-6.0-9.2","7471","2","","","","","","","","
          <span style=""font-size: 2vw; font-weight:bold;"">Can I get one more toy?</span><br><br>
          <img style = 'width: 10vw;' src=""stim/more-stim/toy-agent.png""> 
        "
"","","","","","instructions","39","525048","0.0-6.0-10.2","2816","","[{""page_index"":0,""viewing_time"":2815}]","","","","","","",""
"","","","","","instructions","40","526165","0.0-6.0-0.3","1116","","[{""page_index"":0,""viewing_time"":1115}]","","","","","","",""
"","","","","","instructions","41","551222","0.0-6.0-1.3","25058","","[{""page_index"":0,""viewing_time"":13095},{""page_index"":1,""viewing_time"":6709},{""page_index"":2,""viewing_time"":5254}]","","","","","","",""
"","","","","","survey-text","42","561177","0.0-6.0-2.3","9942","{""Q0"":""2""}","","","","","","","",""
"","","","","","instructions","43","570541","0.0-6.0-3.3","9364","","[{""page_index"":0,""viewing_time"":9364}]","","","","","","",""
"","","","","","KiN_response","44","582308","0.0-6.0-4.3","","alittle","","bedtime","big","none","[""alot"",""alittle""]","right","",""
"","","","","","instructions","45","591558","0.0-6.0-5.3","9254","","[{""page_index"":0,""viewing_time"":3658},{""page_index"":1,""viewing_time"":5595}]","","","","","","",""
"","","","","","KiN_response","46","604984","0.0-6.0-6.3","","Can I stay up for 1 more hour after bedtime?","","bedtime","big","none","[""Can I stay up for 1 more hour after bedtime?"",""If I wake up early tomorrow, can I stay up for 1 more hour after bedtime?""]","left","",""
"","","","","","html-button-response","47","613678","0.0-6.0-7.3","8695","2","","","","","","","","
          <span style=""font-size: 2vw; font-weight:bold;"">Can I stay up for 1 more hour after bedtime?</span><br><br>
          <img style = 'width: 10vw;' src=""stim/more-stim/bedtime-agent.png""> 
            "
"","","","","","instructions","48","615077","0.0-6.0-8.3","1398","","[{""page_index"":0,""viewing_time"":1398}]","","","","","","",""
"","","","","","html-button-response","49","624823","0.0-6.0-9.3","9746","1","","","","","","","","
          <span style=""font-size: 2vw; font-weight:bold;"">If I wake up early tomorrow, can I stay up for 1 more hour after bedtime?</span><br><br>
          <img style = 'width: 10vw;' src=""stim/more-stim/bedtime-agent.png""> 
        "
"","","","","","instructions","50","627750","0.0-6.0-10.3","2926","","[{""page_index"":0,""viewing_time"":2926}]","","","","","","",""
