"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","time_elapsed","internal_node_id","rt","response","view_history","scenario","ask_size","interaction_history","buttons","button_pressed","correct","stimulus"
"true","false","[]","[]","[]","preload","0","2497","0.0-0.0","","","","","","","","","",""
"","","","","","survey-text","1","15382","0.0-1.0","12882","{""Q0"":""p072""}","","","","","","","",""
"","","","","","instructions","2","32071","0.0-2.0","16688","","[{""page_index"":0,""viewing_time"":16684}]","","","","","","",""
"","","","","","instructions","3","40497","0.0-3.0-0.0","8424","","[{""page_index"":0,""viewing_time"":2854},{""page_index"":1,""viewing_time"":2309},{""page_index"":2,""viewing_time"":3261}]","","","","","","",""
"","","","","","KiN_response","4","46708","0.0-3.0-1.0","","Can I get crayons?","","warmup","","","[""Can I get a teddy bear?"",""Can I get crayons?""]","right","true",""
"","","","","","instructions","5","52654","0.0-3.0-2.0","5945","","[{""page_index"":0,""viewing_time"":3385},{""page_index"":1,""viewing_time"":2559}]","","","","","","",""
"","","","","","instructions","6","58725","0.0-5.0","6070","","[{""page_index"":0,""viewing_time"":6070}]","","","","","","",""
"","","","","","instructions","7","62159","0.0-6.0-0.0","3433","","[{""page_index"":0,""viewing_time"":3433}]","","","","","","",""
"","","","","","instructions","8","78761","0.0-6.0-1.0","16601","","[{""page_index"":0,""viewing_time"":8321},{""page_index"":1,""viewing_time"":6104},{""page_index"":2,""viewing_time"":2176}]","","","","","","",""
"","","","","","survey-text","9","86795","0.0-6.0-2.0","8021","{""Q0"":""9""}","","","","","","","",""
"","","","","","instructions","10","91576","0.0-6.0-3.0","4781","","[{""page_index"":0,""viewing_time"":4780}]","","","","","","",""
"","","","","","KiN_response","11","102777","0.0-6.0-4.0","","alittle","","bedtime","small","failed","[""alot"",""alittle""]","right","",""
"","","","","","instructions","12","121086","0.0-6.0-5.0","18308","","[{""page_index"":0,""viewing_time"":3973},{""page_index"":1,""viewing_time"":2294},{""page_index"":2,""viewing_time"":4537},{""page_index"":3,""viewing_time"":3713},{""page_index"":4,""viewing_time"":3791}]","","","","","","",""
"","","","","","KiN_response","13","154197","0.0-6.0-6.0","","Can I stay up for 10 more minutes after bedtime?","","bedtime","small","failed","[""If I wake up early tomorrow, can I stay up for 10 more minutes after bedtime?"",""Can I stay up for 10 more minutes after bedtime?""]","right","",""
"","","","","","html-button-response","14","164578","0.0-6.0-7.0","10379","1","","","","","","","","
          <span style=""font-size: 2vw; font-weight:bold;"">Can I stay up for 10 more minutes after bedtime?</span><br><br>
          <img style = 'width: 10vw;' src=""stim/more-stim/bedtime-agent.png""> 
            "
"","","","","","instructions","15","165804","0.0-6.0-8.0","1225","","[{""page_index"":0,""viewing_time"":1225}]","","","","","","",""
"","","","","","html-button-response","16","177563","0.0-6.0-9.0","11757","1","","","","","","","","
          <span style=""font-size: 2vw; font-weight:bold;"">If I wake up early tomorrow, can I stay up for 10 more minutes after bedtime?</span><br><br>
          <img style = 'width: 10vw;' src=""stim/more-stim/bedtime-agent.png""> 
        "
"","","","","","instructions","17","181138","0.0-6.0-10.0","3575","","[{""page_index"":0,""viewing_time"":3575}]","","","","","","",""
"","","","","","instructions","18","185232","0.0-6.0-0.1","4093","","[{""page_index"":0,""viewing_time"":4092}]","","","","","","",""
