"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","time_elapsed","internal_node_id","rt","response","view_history","scenario","ask_size","interaction_history","buttons","button_pressed","correct","stimulus"
"true","false","[]","[]","[]","preload","0","31","0.0-0.0","","","","","","","","","",""
"","","","","","survey-text","1","4613","0.0-1.0","4582","{""Q0"":""testing""}","","","","","","","",""
"","","","","","instructions","2","12611","0.0-2.0","7997","","[{""page_index"":0,""viewing_time"":7997}]","","","","","","",""
"","","","","","instructions","3","25344","0.0-3.0-0.0","12733","","[{""page_index"":0,""viewing_time"":4366},{""page_index"":1,""viewing_time"":3350},{""page_index"":2,""viewing_time"":5017}]","","","","","","",""
"","","","","","KiN_response","4","34677","0.0-3.0-1.0","","Can I get crayons?","","warmup","","","[""Can I get a teddy bear?"",""Can I get crayons?""]","right","true",""
"","","","","","instructions","5","42077","0.0-3.0-2.0","7399","","[{""page_index"":0,""viewing_time"":6032},{""page_index"":1,""viewing_time"":1368}]","","","","","","",""
"","","","","","instructions","6","48394","0.0-5.0","6316","","[{""page_index"":0,""viewing_time"":6316}]","","","","","","",""
"","","","","","instructions","7","61376","0.0-6.0-0.0","12982","","[{""page_index"":0,""viewing_time"":12982}]","","","","","","",""
"","","","","","instructions","8","86443","0.0-6.0-1.0","25066","","[{""page_index"":0,""viewing_time"":8266},{""page_index"":1,""viewing_time"":3701},{""page_index"":2,""viewing_time"":3516},{""page_index"":3,""viewing_time"":4350},{""page_index"":4,""viewing_time"":5233}]","","","","","","",""
"","","","","","survey-text","9","100959","0.0-6.0-2.0","14513","{""Q0"":""3""}","","","","","","","",""
"","","","","","instructions","10","108360","0.0-6.0-3.0","7401","","[{""page_index"":0,""viewing_time"":7400}]","","","","","","",""
"","","","","","KiN_response","11","125792","0.0-6.0-4.0","","alot","","food","big","failed","[""alot"",""alittle""]","left","",""
"","","","","","instructions","12","151142","0.0-6.0-5.0","25350","","[{""page_index"":0,""viewing_time"":3716},{""page_index"":1,""viewing_time"":3466},{""page_index"":2,""viewing_time"":5684},{""page_index"":3,""viewing_time"":8317},{""page_index"":4,""viewing_time"":4167}]","","","","","","",""
"","","","","","KiN_response","13","166809","0.0-6.0-6.0","","If I brush my teeth, can I have ten more candies?","","food","big","failed","[""Can I have ten more candies?"",""If I brush my teeth, can I have ten more candies?""]","right","",""
"","","","","","html-button-response","14","185143","0.0-6.0-7.0","18332","1","","","","","","","","
          <span style=""font-size: 2vw; font-weight:bold;"">Can I have ten more candies?</span><br><br>
          <img style = 'width: 10vw;' src=""stim/more-stim/food-agent.png""> 
            "
"","","","","","instructions","15","186492","0.0-6.0-8.0","1349","","[{""page_index"":0,""viewing_time"":1348}]","","","","","","",""
"","","","","","html-button-response","16","203225","0.0-6.0-9.0","16732","0","","","","","","","","
          <span style=""font-size: 2vw; font-weight:bold;"">If I brush my teeth, can I have ten more candies?</span><br><br>
          <img style = 'width: 10vw;' src=""stim/more-stim/food-agent.png""> 
        "
"","","","","","instructions","17","209325","0.0-6.0-10.0","6099","","[{""page_index"":0,""viewing_time"":6099}]","","","","","","",""
"","","","","","instructions","18","216474","0.0-6.0-0.1","7149","","[{""page_index"":0,""viewing_time"":7148}]","","","","","","",""
"","","","","","instructions","19","244941","0.0-6.0-1.1","28466","","[{""page_index"":0,""viewing_time"":10966},{""page_index"":1,""viewing_time"":3816},{""page_index"":2,""viewing_time"":4317},{""page_index"":3,""viewing_time"":3967},{""page_index"":4,""viewing_time"":5400}]","","","","","","",""
"","","","","","survey-text","20","253191","0.0-6.0-2.1","8249","{""Q0"":""1""}","","","","","","","",""
"","","","","","instructions","21","262374","0.0-6.0-3.1","9182","","[{""page_index"":0,""viewing_time"":9182}]","","","","","","",""
"","","","","","KiN_response","22","281757","0.0-6.0-4.1","","alittle","","activity","big","none","[""alittle"",""alot""]","left","",""
"","","","","","instructions","23","289724","0.0-6.0-5.1","7967","","[{""page_index"":0,""viewing_time"":3316},{""page_index"":1,""viewing_time"":4650}]","","","","","","",""
