"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","time_elapsed","internal_node_id","rt","response","view_history","scenario","ask_size","interaction_history","buttons","button_pressed","correct","stimulus"
"true","false","[]","[]","[]","preload","0","2560","0.0-0.0","","","","","","","","","",""
"","","","","","survey-text","1","2088935","0.0-1.0","637233","{""Q0"":""p093""}","","","","","","","",""
"","","","","","instructions","2","2102429","0.0-2.0","13491","","[{""page_index"":0,""viewing_time"":13491}]","","","","","","",""
"","","","","","instructions","3","2116037","0.0-3.0-0.0","13607","","[{""page_index"":0,""viewing_time"":5118},{""page_index"":1,""viewing_time"":3294},{""page_index"":2,""viewing_time"":5195}]","","","","","","",""
"","","","","","KiN_response","4","2129960","0.0-3.0-1.0","","Can I get crayons?","","warmup","","","[""Can I get a teddy bear?"",""Can I get crayons?""]","right","true",""
"","","","","","instructions","5","2138466","0.0-3.0-2.0","8503","","[{""page_index"":0,""viewing_time"":4117},{""page_index"":1,""viewing_time"":4386}]","","","","","","",""
"","","","","","instructions","6","2144877","0.0-5.0","6410","","[{""page_index"":0,""viewing_time"":6410}]","","","","","","",""
"","","","","","instructions","7","2149455","0.0-6.0-0.0","4574","","[{""page_index"":0,""viewing_time"":4574}]","","","","","","",""
"","","","","","instructions","8","2169843","0.0-6.0-1.0","20388","","[{""page_index"":0,""viewing_time"":9572},{""page_index"":1,""viewing_time"":5962},{""page_index"":2,""viewing_time"":4854}]","","","","","","",""
"","","","","","survey-text","9","2176086","0.0-6.0-2.0","6229","{""Q0"":""9""}","","","","","","","",""
"","","","","","instructions","10","2185317","0.0-6.0-3.0","9230","","[{""page_index"":0,""viewing_time"":9230}]","","","","","","",""
"","","","","","KiN_response","11","2201118","0.0-6.0-4.0","","alittle","","bedtime","small","none","[""alot"",""alittle""]","right","",""
"","","","","","instructions","12","2210323","0.0-6.0-5.0","9204","","[{""page_index"":0,""viewing_time"":4919},{""page_index"":1,""viewing_time"":4285}]","","","","","","",""
"","","","","","KiN_response","13","2230360","0.0-6.0-6.0","","Can I stay up for 10 more minutes after bedtime?","","bedtime","small","none","[""If I wake up early tomorrow, can I stay up for 10 more minutes after bedtime?"",""Can I stay up for 10 more minutes after bedtime?""]","right","",""
"","","","","","html-button-response","14","2244744","0.0-6.0-7.0","14379","0","","","","","","","","
          <span style=""font-size: 2vw; font-weight:bold;"">Can I stay up for 10 more minutes after bedtime?</span><br><br>
          <img style = 'width: 10vw;' src=""stim/more-stim/bedtime-agent.png""> 
            "
"","","","","","instructions","15","2246085","0.0-6.0-8.0","1340","","[{""page_index"":0,""viewing_time"":1340}]","","","","","","",""
"","","","","","html-button-response","16","2261054","0.0-6.0-9.0","14967","2","","","","","","","","
          <span style=""font-size: 2vw; font-weight:bold;"">If I wake up early tomorrow, can I stay up for 10 more minutes after bedtime?</span><br><br>
          <img style = 'width: 10vw;' src=""stim/more-stim/bedtime-agent.png""> 
        "
"","","","","","instructions","17","2265155","0.0-6.0-10.0","4101","","[{""page_index"":0,""viewing_time"":4100}]","","","","","","",""
"","","","","","instructions","18","2272202","0.0-6.0-0.1","7045","","[{""page_index"":0,""viewing_time"":7044}]","","","","","","",""
"","","","","","instructions","19","2286177","0.0-6.0-1.1","13974","","[{""page_index"":0,""viewing_time"":6919},{""page_index"":1,""viewing_time"":3878},{""page_index"":2,""viewing_time"":3177}]","","","","","","",""
"","","","","","survey-text","20","2292279","0.0-6.0-2.1","6088","{""Q0"":""1""}","","","","","","","",""
"","","","","","instructions","21","2298899","0.0-6.0-3.1","6619","","[{""page_index"":0,""viewing_time"":6619}]","","","","","","",""
"","","","","","KiN_response","22","2308846","0.0-6.0-4.1","","alittle","","toy","big","failed","[""alittle"",""alot""]","left","",""
