"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","time_elapsed","internal_node_id","rt","response","view_history","scenario","ask_size","interaction_history","buttons","button_pressed","correct","stimulus"
"true","false","[]","[]","[]","preload","0","2183","0.0-0.0","","","","","","","","","",""
"","","","","","survey-text","1","4707","0.0-1.0","2521","{""Q0"":""testing""}","","","","","","","",""
"","","","","","instructions","2","84934","0.0-2.0","80226","","[{""page_index"":0,""viewing_time"":80226}]","","","","","","",""
"","","","","","instructions","3","95317","0.0-3.0-0.0","10382","","[{""page_index"":0,""viewing_time"":4116},{""page_index"":1,""viewing_time"":2983},{""page_index"":2,""viewing_time"":3283}]","","","","","","",""
"","","","","","KiN_response","4","105883","0.0-3.0-1.0","","Can I get crayons?","","warmup","","","[""Can I get crayons?"",""Can I get a teddy bear?""]","left","true",""
"","","","","","instructions","5","113484","0.0-3.0-2.0","7600","","[{""page_index"":0,""viewing_time"":6367},{""page_index"":1,""viewing_time"":1233}]","","","","","","",""
"","","","","","instructions","6","119934","0.0-5.0","6449","","[{""page_index"":0,""viewing_time"":6448}]","","","","","","",""
"","","","","","instructions","7","125634","0.0-6.0-0.0","5699","","[{""page_index"":0,""viewing_time"":5699}]","","","","","","",""
"","","","","","instructions","8","145368","0.0-6.0-1.0","19733","","[{""page_index"":0,""viewing_time"":6616},{""page_index"":1,""viewing_time"":3634},{""page_index"":2,""viewing_time"":2466},{""page_index"":3,""viewing_time"":3367},{""page_index"":4,""viewing_time"":3650}]","","","","","","",""
"","","","","","survey-text","9","153068","0.0-6.0-2.0","7698","{""Q0"":""3""}","","","","","","","",""
"","","","","","instructions","10","158300","0.0-6.0-3.0","5231","","[{""page_index"":0,""viewing_time"":5231}]","","","","","","",""
"","","","","","KiN_response","11","172950","0.0-6.0-4.0","","alittle","","food","small","none","[""alittle"",""alot""]","left","",""
"","","","","","instructions","12","179784","0.0-6.0-5.0","6833","","[{""page_index"":0,""viewing_time"":3533},{""page_index"":1,""viewing_time"":3300}]","","","","","","",""
"","","","","","KiN_response","13","192268","0.0-6.0-6.0","","Can I have one more candy?","","food","small","none","[""If I brush my teeth, can I have one more candy?"",""Can I have one more candy?""]","right","",""
"","","","","","html-button-response","14","207601","0.0-6.0-7.0","15331","1","","","","","","","","
          <span style=""font-size: 2vw; font-weight:bold;"">Can I have one more candy?</span><br><br>
          <img style = 'width: 10vw;' src=""stim/more-stim/food-agent.png""> 
            "
"","","","","","instructions","15","208534","0.0-6.0-8.0","933","","[{""page_index"":0,""viewing_time"":933}]","","","","","","",""
"","","","","","html-button-response","16","223818","0.0-6.0-9.0","15282","2","","","","","","","","
          <span style=""font-size: 2vw; font-weight:bold;"">If I brush my teeth, can I have one more candy?</span><br><br>
          <img style = 'width: 10vw;' src=""stim/more-stim/food-agent.png""> 
        "
"","","","","","instructions","17","227918","0.0-6.0-10.0","4100","","[{""page_index"":0,""viewing_time"":4100}]","","","","","","",""
"","","","","","instructions","18","233417","0.0-6.0-0.1","5498","","[{""page_index"":0,""viewing_time"":5498}]","","","","","","",""
"","","","","","instructions","19","251634","0.0-6.0-1.1","18217","","[{""page_index"":0,""viewing_time"":9333},{""page_index"":1,""viewing_time"":6100},{""page_index"":2,""viewing_time"":2783}]","","","","","","",""
"","","","","","survey-text","20","261585","0.0-6.0-2.1","9948","{""Q0"":""11 ""}","","","","","","","",""
"","","","","","instructions","21","266567","0.0-6.0-3.1","4982","","[{""page_index"":0,""viewing_time"":4982}]","","","","","","",""
"","","","","","KiN_response","22","281684","0.0-6.0-4.1","","alot","","bedtime","big","none","[""alot"",""alittle""]","left","",""
