"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","time_elapsed","internal_node_id","rt","response","view_history","scenario","ask_size","interaction_history","buttons","button_pressed","correct","stimulus"
"true","false","[]","[]","[]","preload","0","8892","0.0-0.0","","","","","","","","","",""
"","","","","","survey-text","1","31885","0.0-1.0","22990","{""Q0"":""p075""}","","","","","","","",""
"","","","","","instructions","2","69996","0.0-2.0","38111","","[{""page_index"":0,""viewing_time"":38111}]","","","","","","",""
"","","","","","instructions","3","82679","0.0-3.0-0.0","12681","","[{""page_index"":0,""viewing_time"":4359},{""page_index"":1,""viewing_time"":3460},{""page_index"":2,""viewing_time"":4862}]","","","","","","",""
"","","","","","KiN_response","4","93118","0.0-3.0-1.0","","Can I get crayons?","","warmup","","","[""Can I get a teddy bear?"",""Can I get crayons?""]","right","true",""
"","","","","","instructions","5","99315","0.0-3.0-2.0","6196","","[{""page_index"":0,""viewing_time"":3059},{""page_index"":1,""viewing_time"":3137}]","","","","","","",""
"","","","","","instructions","6","106118","0.0-5.0","6802","","[{""page_index"":0,""viewing_time"":6802}]","","","","","","",""
"","","","","","instructions","7","106895","0.0-6.0-0.0","775","","[{""page_index"":0,""viewing_time"":775}]","","","","","","",""
"","","","","","instructions","8","134176","0.0-6.0-1.0","27280","","[{""page_index"":0,""viewing_time"":12220},{""page_index"":1,""viewing_time"":3543},{""page_index"":2,""viewing_time"":3764},{""page_index"":3,""viewing_time"":3776},{""page_index"":4,""viewing_time"":3977}]","","","","","","",""
"","","","","","survey-text","9","144399","0.0-6.0-2.0","10208","{""Q0"":""2""}","","","","","","","",""
"","","","","","instructions","10","150228","0.0-6.0-3.0","5829","","[{""page_index"":0,""viewing_time"":5828}]","","","","","","",""
"","","","","","KiN_response","11","162535","0.0-6.0-4.0","","alot","","activity","big","none","[""alittle"",""alot""]","right","",""
"","","","","","instructions","12","171365","0.0-6.0-5.0","8829","","[{""page_index"":0,""viewing_time"":3190},{""page_index"":1,""viewing_time"":5638}]","","","","","","",""
"","","","","","KiN_response","13","183655","0.0-6.0-6.0","","Can I play five more rounds of games?","","activity","big","none","[""If I clean my room, can I play five more rounds of games?"",""Can I play five more rounds of games?""]","right","",""
"","","","","","html-button-response","14","199239","0.0-6.0-7.0","15582","1","","","","","","","","
          <span style=""font-size: 2vw; font-weight:bold;"">If I clean my room, can I play five more rounds of games?</span><br><br>
          <img style = 'width: 10vw;' src=""stim/more-stim/activity-agent.png""> 
            "
