"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","time_elapsed","internal_node_id","rt","response","view_history","scenario","ask_size","interaction_history","buttons","button_pressed","correct","stimulus"
"true","false","[]","[]","[]","preload","0","4185","0.0-0.0","","","","","","","","","",""
"","","","","","survey-text","1","447989","0.0-1.0","443696","{""Q0"":""p063""}","","","","","","","",""
"","","","","","instructions","2","449030","0.0-2.0","1040","","[{""page_index"":0,""viewing_time"":1040}]","","","","","","",""
"","","","","","instructions","3","470892","0.0-3.0-0.0","21857","","[{""page_index"":0,""viewing_time"":15975},{""page_index"":1,""viewing_time"":2293},{""page_index"":2,""viewing_time"":3589}]","","","","","","",""
"","","","","","KiN_response","4","484637","0.0-3.0-1.0","","Can I get crayons?","","warmup","","","[""Can I get a teddy bear?"",""Can I get crayons?""]","right","true",""
"","","","","","instructions","5","495736","0.0-3.0-2.0","11096","","[{""page_index"":0,""viewing_time"":7386},{""page_index"":1,""viewing_time"":3709}]","","","","","","",""
"","","","","","instructions","6","500910","0.0-5.0","5172","","[{""page_index"":0,""viewing_time"":5172}]","","","","","","",""
"","","","","","instructions","7","506710","0.0-6.0-0.0","5798","","[{""page_index"":0,""viewing_time"":5797}]","","","","","","",""
"","","","","","instructions","8","527140","0.0-6.0-1.0","20428","","[{""page_index"":0,""viewing_time"":9178},{""page_index"":1,""viewing_time"":6506},{""page_index"":2,""viewing_time"":4744}]","","","","","","",""
"","","","","","survey-text","9","535399","0.0-6.0-2.0","8246","{""Q0"":""9pm""}","","","","","","","",""
"","","","","","instructions","10","541733","0.0-6.0-3.0","6333","","[{""page_index"":0,""viewing_time"":6332}]","","","","","","",""
"","","","","","KiN_response","11","554067","0.0-6.0-4.0","","alot","","bedtime","big","failed","[""alot"",""alittle""]","left","",""
"","","","","","instructions","12","578050","0.0-6.0-5.0","23981","","[{""page_index"":0,""viewing_time"":4038},{""page_index"":1,""viewing_time"":3857},{""page_index"":2,""viewing_time"":5657},{""page_index"":3,""viewing_time"":5225},{""page_index"":4,""viewing_time"":5204}]","","","","","","",""
"","","","","","KiN_response","13","591761","0.0-6.0-6.0","","If I wake up early tomorrow, can I stay up for 1 more hour after bedtime?","","bedtime","big","failed","[""Can I stay up for 1 more hour after bedtime?"",""If I wake up early tomorrow, can I stay up for 1 more hour after bedtime?""]","right","",""
"","","","","","html-button-response","14","605150","0.0-6.0-7.0","13387","1","","","","","","","","
          <span style=""font-size: 2vw; font-weight:bold;"">Can I stay up for 1 more hour after bedtime?</span><br><br>
          <img style = 'width: 10vw;' src=""stim/more-stim/bedtime-agent.png""> 
            "
"","","","","","instructions","15","606551","0.0-6.0-8.0","1401","","[{""page_index"":0,""viewing_time"":1401}]","","","","","","",""
"","","","","","html-button-response","16","619665","0.0-6.0-9.0","13110","1","","","","","","","","
          <span style=""font-size: 2vw; font-weight:bold;"">If I wake up early tomorrow, can I stay up for 1 more hour after bedtime?</span><br><br>
          <img style = 'width: 10vw;' src=""stim/more-stim/bedtime-agent.png""> 
        "
"","","","","","instructions","17","623414","0.0-6.0-10.0","3748","","[{""page_index"":0,""viewing_time"":3748}]","","","","","","",""
"","","","","","instructions","18","627488","0.0-6.0-0.1","4073","","[{""page_index"":0,""viewing_time"":4073}]","","","","","","",""
"","","","","","instructions","19","654617","0.0-6.0-1.1","27128","","[{""page_index"":0,""viewing_time"":5613},{""page_index"":1,""viewing_time"":4229},{""page_index"":2,""viewing_time"":7880},{""page_index"":3,""viewing_time"":4952},{""page_index"":4,""viewing_time"":4453}]","","","","","","",""
"","","","","","survey-text","20","664369","0.0-6.0-2.1","9737","{""Q0"":""2""}","","","","","","","",""
"","","","","","instructions","21","676289","0.0-6.0-3.1","11919","","[{""page_index"":0,""viewing_time"":11919}]","","","","","","",""
"","","","","","KiN_response","22","687737","0.0-6.0-4.1","","alittle","","activity","small","failed","[""alot"",""alittle""]","right","",""
"","","","","","instructions","23","710471","0.0-6.0-5.1","22732","","[{""page_index"":0,""viewing_time"":4060},{""page_index"":1,""viewing_time"":2679},{""page_index"":2,""viewing_time"":5666},{""page_index"":3,""viewing_time"":5605},{""page_index"":4,""viewing_time"":4722}]","","","","","","",""
"","","","","","KiN_response","24","721885","0.0-6.0-6.1","","If I clean my room, can I play one more round of game?","","activity","small","failed","[""Can I play one more round of game?"",""If I clean my room, can I play one more round of game?""]","right","",""
"","","","","","html-button-response","25","736281","0.0-6.0-7.1","14392","1","","","","","","","","
          <span style=""font-size: 2vw; font-weight:bold;"">Can I play one more round of game?</span><br><br>
          <img style = 'width: 10vw;' src=""stim/more-stim/activity-agent.png""> 
            "
"","","","","","instructions","26","737592","0.0-6.0-8.1","1310","","[{""page_index"":0,""viewing_time"":1310}]","","","","","","",""
"","","","","","html-button-response","27","753344","0.0-6.0-9.1","15750","0","","","","","","","","
          <span style=""font-size: 2vw; font-weight:bold;"">If I clean my room, can I play one more round of game?</span><br><br>
          <img style = 'width: 10vw;' src=""stim/more-stim/activity-agent.png""> 
        "
"","","","","","instructions","28","758372","0.0-6.0-10.1","5027","","[{""page_index"":0,""viewing_time"":5027}]","","","","","","",""
"","","","","","instructions","29","763059","0.0-6.0-0.2","4686","","[{""page_index"":0,""viewing_time"":4685}]","","","","","","",""
"","","","","","instructions","30","777769","0.0-6.0-1.2","14707","","[{""page_index"":0,""viewing_time"":7021},{""page_index"":1,""viewing_time"":4053},{""page_index"":2,""viewing_time"":3633}]","","","","","","",""
"","","","","","survey-text","31","782253","0.0-6.0-2.2","4473","{""Q0"":""1""}","","","","","","","",""
"","","","","","instructions","32","788159","0.0-6.0-3.2","5905","","[{""page_index"":0,""viewing_time"":5905}]","","","","","","",""
"","","","","","KiN_response","33","796281","0.0-6.0-4.2","","alittle","","toy","small","none","[""alittle"",""alot""]","left","",""
"","","","","","instructions","34","807113","0.0-6.0-5.2","10831","","[{""page_index"":0,""viewing_time"":6438},{""page_index"":1,""viewing_time"":4393}]","","","","","","",""
"","","","","","KiN_response","35","818354","0.0-6.0-6.2","","If I share my toys, can I get one more toy?","","toy","small","none","[""If I share my toys, can I get one more toy?"",""Can I get one more toy?""]","left","",""
"","","","","","html-button-response","36","837416","0.0-6.0-7.2","19059","1","","","","","","","","
          <span style=""font-size: 2vw; font-weight:bold;"">Can I get one more toy?</span><br><br>
          <img style = 'width: 10vw;' src=""stim/more-stim/toy-agent.png""> 
            "
"","","","","","instructions","37","838742","0.0-6.0-8.2","1325","","[{""page_index"":0,""viewing_time"":1325}]","","","","","","",""
