"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","time_elapsed","internal_node_id","rt","response","view_history","scenario","ask_size","interaction_history","buttons","button_pressed","correct","stimulus"
"true","false","[]","[]","[]","preload","0","1855","0.0-0.0","","","","","","","","","",""
"","","","","","survey-text","1","14487","0.0-1.0","12625","{""Q0"":""p064""}","","","","","","","",""
"","","","","","instructions","2","22620","0.0-2.0","8132","","[{""page_index"":0,""viewing_time"":8132}]","","","","","","",""
"","","","","","instructions","3","33665","0.0-3.0-0.0","11043","","[{""page_index"":0,""viewing_time"":3915},{""page_index"":1,""viewing_time"":3617},{""page_index"":2,""viewing_time"":3511}]","","","","","","",""
"","","","","","KiN_response","4","43949","0.0-3.0-1.0","","Can I get crayons?","","warmup","","","[""Can I get crayons?"",""Can I get a teddy bear?""]","left","true",""
"","","","","","instructions","5","51727","0.0-3.0-2.0","7777","","[{""page_index"":0,""viewing_time"":4399},{""page_index"":1,""viewing_time"":3378}]","","","","","","",""
"","","","","","instructions","6","57132","0.0-5.0","5403","","[{""page_index"":0,""viewing_time"":5403}]","","","","","","",""
"","","","","","instructions","7","61158","0.0-6.0-0.0","4025","","[{""page_index"":0,""viewing_time"":4025}]","","","","","","",""
"","","","","","instructions","8","81505","0.0-6.0-1.0","20345","","[{""page_index"":0,""viewing_time"":5662},{""page_index"":1,""viewing_time"":3535},{""page_index"":2,""viewing_time"":3009},{""page_index"":3,""viewing_time"":3588},{""page_index"":4,""viewing_time"":4551}]","","","","","","",""
"","","","","","survey-text","9","88173","0.0-6.0-2.0","6656","{""Q0"":""3""}","","","","","","","",""
"","","","","","instructions","10","94481","0.0-6.0-3.0","6308","","[{""page_index"":0,""viewing_time"":6308}]","","","","","","",""
"","","","","","KiN_response","11","103755","0.0-6.0-4.0","","alot","","food","big","failed","[""alittle"",""alot""]","right","",""
"","","","","","instructions","12","127078","0.0-6.0-5.0","23322","","[{""page_index"":0,""viewing_time"":5767},{""page_index"":1,""viewing_time"":2593},{""page_index"":2,""viewing_time"":6371},{""page_index"":3,""viewing_time"":4328},{""page_index"":4,""viewing_time"":4263}]","","","","","","",""
"","","","","","KiN_response","13","139477","0.0-6.0-6.0","","If I brush my teeth, can I have ten more candies?","","food","big","failed","[""Can I have ten more candies?"",""If I brush my teeth, can I have ten more candies?""]","right","",""
"","","","","","html-button-response","14","151901","0.0-6.0-7.0","12412","1","","","","","","","","
          <span style=""font-size: 2vw; font-weight:bold;"">If I brush my teeth, can I have ten more candies?</span><br><br>
          <img style = 'width: 10vw;' src=""stim/more-stim/food-agent.png""> 
            "
"","","","","","instructions","15","152937","0.0-6.0-8.0","1034","","[{""page_index"":0,""viewing_time"":1034}]","","","","","","",""
"","","","","","html-button-response","16","164500","0.0-6.0-9.0","11560","2","","","","","","","","
          <span style=""font-size: 2vw; font-weight:bold;"">Can I have ten more candies?</span><br><br>
          <img style = 'width: 10vw;' src=""stim/more-stim/food-agent.png""> 
        "
"","","","","","instructions","17","168097","0.0-6.0-10.0","3595","","[{""page_index"":0,""viewing_time"":3595}]","","","","","","",""
"","","","","","instructions","18","173397","0.0-6.0-0.1","5299","","[{""page_index"":0,""viewing_time"":5299}]","","","","","","",""
"","","","","","instructions","19","194546","0.0-6.0-1.1","21147","","[{""page_index"":0,""viewing_time"":13419},{""page_index"":1,""viewing_time"":4175},{""page_index"":2,""viewing_time"":3553}]","","","","","","",""
"","","","","","survey-text","20","199439","0.0-6.0-2.1","4881","{""Q0"":""1""}","","","","","","","",""
"","","","","","instructions","21","204619","0.0-6.0-3.1","5178","","[{""page_index"":0,""viewing_time"":5178}]","","","","","","",""
"","","","","","KiN_response","22","217271","0.0-6.0-4.1","","alittle","","toy","small","failed","[""alittle"",""alot""]","left","",""
"","","","","","instructions","23","234281","0.0-6.0-5.1","17008","","[{""page_index"":0,""viewing_time"":3341},{""page_index"":1,""viewing_time"":2527},{""page_index"":2,""viewing_time"":3289},{""page_index"":3,""viewing_time"":4658},{""page_index"":4,""viewing_time"":3193}]","","","","","","",""
"","","","","","KiN_response","24","247586","0.0-6.0-6.1","","If I share my toys, can I get one more toy?","","toy","small","failed","[""Can I get one more toy?"",""If I share my toys, can I get one more toy?""]","right","",""
"","","","","","html-button-response","25","259823","0.0-6.0-7.1","12233","1","","","","","","","","
          <span style=""font-size: 2vw; font-weight:bold;"">If I share my toys, can I get one more toy?</span><br><br>
          <img style = 'width: 10vw;' src=""stim/more-stim/toy-agent.png""> 
            "
"","","","","","instructions","26","261040","0.0-6.0-8.1","1216","","[{""page_index"":0,""viewing_time"":1216}]","","","","","","",""
"","","","","","html-button-response","27","280836","0.0-6.0-9.1","19791","1","","","","","","","","
          <span style=""font-size: 2vw; font-weight:bold;"">Can I get one more toy?</span><br><br>
          <img style = 'width: 10vw;' src=""stim/more-stim/toy-agent.png""> 
        "
"","","","","","instructions","28","284328","0.0-6.0-10.1","3491","","[{""page_index"":0,""viewing_time"":3491}]","","","","","","",""
"","","","","","instructions","29","294871","0.0-6.0-0.2","10542","","[{""page_index"":0,""viewing_time"":10541}]","","","","","","",""
