"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","time_elapsed","internal_node_id","rt","response","view_history","scenario","ask_size","interaction_history","buttons","button_pressed","correct","stimulus"
"true","false","[]","[]","[]","preload","0","2902","0.0-0.0","","","","","","","","","",""
"","","","","","survey-text","1","12378","0.0-1.0","9469","{""Q0"":""p067""}","","","","","","","",""
"","","","","","instructions","2","32688","0.0-2.0","20306","","[{""page_index"":0,""viewing_time"":20306}]","","","","","","",""
"","","","","","instructions","3","43462","0.0-3.0-0.0","10772","","[{""page_index"":0,""viewing_time"":4926},{""page_index"":1,""viewing_time"":2276},{""page_index"":2,""viewing_time"":3570}]","","","","","","",""
"","","","","","KiN_response","4","52643","0.0-3.0-1.0","","Can I get crayons?","","warmup","","","[""Can I get crayons?"",""Can I get a teddy bear?""]","left","true",""
"","","","","","instructions","5","60265","0.0-3.0-2.0","7621","","[{""page_index"":0,""viewing_time"":4800},{""page_index"":1,""viewing_time"":2821}]","","","","","","",""
"","","","","","instructions","6","66608","0.0-5.0","6342","","[{""page_index"":0,""viewing_time"":6342}]","","","","","","",""
"","","","","","instructions","7","71011","0.0-6.0-0.0","4402","","[{""page_index"":0,""viewing_time"":4402}]","","","","","","",""
"","","","","","instructions","8","84210","0.0-6.0-1.0","13195","","[{""page_index"":0,""viewing_time"":7066},{""page_index"":1,""viewing_time"":3102},{""page_index"":2,""viewing_time"":3027}]","","","","","","",""
"","","","","","survey-text","9","91346","0.0-6.0-2.0","7122","{""Q0"":""1""}","","","","","","","",""
"","","","","","instructions","10","96083","0.0-6.0-3.0","4736","","[{""page_index"":0,""viewing_time"":4736}]","","","","","","",""
"","","","","","KiN_response","11","107479","0.0-6.0-4.0","","alot","","toy","big","failed","[""alittle"",""alot""]","right","",""
"","","","","","instructions","12","133790","0.0-6.0-5.0","26311","","[{""page_index"":0,""viewing_time"":3287},{""page_index"":1,""viewing_time"":2528},{""page_index"":2,""viewing_time"":11673},{""page_index"":3,""viewing_time"":4103},{""page_index"":4,""viewing_time"":4720}]","","","","","","",""
"","","","","","KiN_response","13","144278","0.0-6.0-6.0","","If I share my toys, can I get five more toys?","","toy","big","failed","[""If I share my toys, can I get five more toys?"",""Can I get five more toys?""]","left","",""
"","","","","","html-button-response","14","153384","0.0-6.0-7.0","9103","2","","","","","","","","
          <span style=""font-size: 2vw; font-weight:bold;"">Can I get five more toys?</span><br><br>
          <img style = 'width: 10vw;' src=""stim/more-stim/toy-agent.png""> 
            "
"","","","","","instructions","15","154497","0.0-6.0-8.0","1112","","[{""page_index"":0,""viewing_time"":1112}]","","","","","","",""
"","","","","","html-button-response","16","165430","0.0-6.0-9.0","10931","2","","","","","","","","
          <span style=""font-size: 2vw; font-weight:bold;"">If I share my toys, can I get five more toys?</span><br><br>
          <img style = 'width: 10vw;' src=""stim/more-stim/toy-agent.png""> 
        "
"","","","","","instructions","17","169300","0.0-6.0-10.0","3868","","[{""page_index"":0,""viewing_time"":3867}]","","","","","","",""
"","","","","","instructions","18","174345","0.0-6.0-0.1","5044","","[{""page_index"":0,""viewing_time"":5044}]","","","","","","",""
"","","","","","instructions","19","192674","0.0-6.0-1.1","18329","","[{""page_index"":0,""viewing_time"":9698},{""page_index"":1,""viewing_time"":5628},{""page_index"":2,""viewing_time"":3003}]","","","","","","",""
"","","","","","survey-text","20","206269","0.0-6.0-2.1","13582","{""Q0"":""5pm""}","","","","","","","",""
"","","","","","instructions","21","215006","0.0-6.0-3.1","8737","","[{""page_index"":0,""viewing_time"":8736}]","","","","","","",""
"","","","","","KiN_response","22","224517","0.0-6.0-4.1","","alot","","bedtime","big","none","[""alot"",""alittle""]","left","",""
"","","","","","instructions","23","232481","0.0-6.0-5.1","7964","","[{""page_index"":0,""viewing_time"":3336},{""page_index"":1,""viewing_time"":4627}]","","","","","","",""
"","","","","","KiN_response","24","247833","0.0-6.0-6.1","","If I wake up early tomorrow, can I stay up for 1 more hour after bedtime?","","bedtime","big","none","[""Can I stay up for 1 more hour after bedtime?"",""If I wake up early tomorrow, can I stay up for 1 more hour after bedtime?""]","right","",""
"","","","","","html-button-response","25","262064","0.0-6.0-7.1","14230","2","","","","","","","","
          <span style=""font-size: 2vw; font-weight:bold;"">If I wake up early tomorrow, can I stay up for 1 more hour after bedtime?</span><br><br>
          <img style = 'width: 10vw;' src=""stim/more-stim/bedtime-agent.png""> 
            "
"","","","","","instructions","26","263182","0.0-6.0-8.1","1117","","[{""page_index"":0,""viewing_time"":1116}]","","","","","","",""
"","","","","","html-button-response","27","276573","0.0-6.0-9.1","13389","2","","","","","","","","
          <span style=""font-size: 2vw; font-weight:bold;"">Can I stay up for 1 more hour after bedtime?</span><br><br>
          <img style = 'width: 10vw;' src=""stim/more-stim/bedtime-agent.png""> 
        "
"","","","","","instructions","28","280251","0.0-6.0-10.1","3677","","[{""page_index"":0,""viewing_time"":3677}]","","","","","","",""
"","","","","","instructions","29","285327","0.0-6.0-0.2","5075","","[{""page_index"":0,""viewing_time"":5075}]","","","","","","",""
"","","","","","instructions","30","307444","0.0-6.0-1.2","22117","","[{""page_index"":0,""viewing_time"":6764},{""page_index"":1,""viewing_time"":4019},{""page_index"":2,""viewing_time"":3922},{""page_index"":3,""viewing_time"":3247},{""page_index"":4,""viewing_time"":4165}]","","","","","","",""
"","","","","","survey-text","31","313758","0.0-6.0-2.2","6306","{""Q0"":""3""}","","","","","","","",""
"","","","","","instructions","32","319567","0.0-6.0-3.2","5808","","[{""page_index"":0,""viewing_time"":5808}]","","","","","","",""
