"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","time_elapsed","internal_node_id","rt","response","view_history","scenario","ask_size","interaction_history","buttons","button_pressed","correct","stimulus"
"true","false","[]","[]","[]","preload","0","360","0.0-0.0","","","","","","","","","",""
"","","","","","survey-text","1","561814","0.0-1.0","561480","{""Q0"":""p097""}","","","","","","","",""
"","","","","","instructions","2","608862","0.0-2.0","47049","","[{""page_index"":0,""viewing_time"":47049}]","","","","","","",""
"","","","","","instructions","3","620335","0.0-3.0-0.0","11471","","[{""page_index"":0,""viewing_time"":4085},{""page_index"":1,""viewing_time"":3117},{""page_index"":2,""viewing_time"":4269}]","","","","","","",""
"","","","","","KiN_response","4","660949","0.0-3.0-1.0","","Can I get a teddy bear?","","warmup","","","[""Can I get a teddy bear?"",""Can I get crayons?""]","left","false",""
"","","","","","instructions","5","673591","0.0-3.0-2.0","12641","","[{""page_index"":0,""viewing_time"":12641}]","","","","","","",""
"","","","","","instructions","6","685956","0.0-4.0-0.0-0.0","12364","","[{""page_index"":0,""viewing_time"":4507},{""page_index"":1,""viewing_time"":3741},{""page_index"":2,""viewing_time"":4116}]","","","","","","",""
"","","","","","KiN_response","7","702358","0.0-4.0-0.0-1.0","","Can I get crayons?","","warmup","","","[""Can I get crayons?"",""Can I get a teddy bear?""]","left","true",""
"","","","","","instructions","8","711020","0.0-4.0-0.0-2.0","8662","","[{""page_index"":0,""viewing_time"":5186},{""page_index"":1,""viewing_time"":3476}]","","","","","","",""
"","","","","","instructions","9","720335","0.0-5.0","9315","","[{""page_index"":0,""viewing_time"":9314}]","","","","","","",""
"","","","","","instructions","10","724636","0.0-6.0-0.0","4300","","[{""page_index"":0,""viewing_time"":4300}]","","","","","","",""
"","","","","","instructions","11","739299","0.0-6.0-1.0","14661","","[{""page_index"":0,""viewing_time"":7071},{""page_index"":1,""viewing_time"":3851},{""page_index"":2,""viewing_time"":3739}]","","","","","","",""
"","","","","","survey-text","12","746306","0.0-6.0-2.0","6998","{""Q0"":""1""}","","","","","","","",""
"","","","","","instructions","13","752723","0.0-6.0-3.0","6416","","[{""page_index"":0,""viewing_time"":6416}]","","","","","","",""
"","","","","","KiN_response","14","765252","0.0-6.0-4.0","","alot","","toy","big","failed","[""alot"",""alittle""]","left","",""
"","","","","","instructions","15","786989","0.0-6.0-5.0","21748","","[{""page_index"":0,""viewing_time"":3962},{""page_index"":1,""viewing_time"":3352},{""page_index"":2,""viewing_time"":5175},{""page_index"":3,""viewing_time"":4037},{""page_index"":4,""viewing_time"":5222}]","","","","","","",""
"","","","","","KiN_response","16","809744","0.0-6.0-6.0","","If I share my toys, can I get five more toys?","","toy","big","failed","[""If I share my toys, can I get five more toys?"",""Can I get five more toys?""]","left","",""
"","","","","","html-button-response","17","836895","0.0-6.0-7.0","27155","0","","","","","","","","
          <span style=""font-size: 2vw; font-weight:bold;"">Can I get five more toys?</span><br><br>
          <img style = 'width: 10vw;' src=""stim/more-stim/toy-agent.png""> 
            "
"","","","","","instructions","18","837930","0.0-6.0-8.0","1033","","[{""page_index"":0,""viewing_time"":1033}]","","","","","","",""
