"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","time_elapsed","internal_node_id","rt","response","view_history","scenario","ask_size","interaction_history","buttons","button_pressed","correct","stimulus"
"true","false","[]","[]","[]","preload","0","3376","0.0-0.0","","","","","","","","","",""
"","","","","","survey-text","1","13134","0.0-1.0","9755","{""Q0"":""p090""}","","","","","","","",""
"","","","","","instructions","2","35289","0.0-2.0","22154","","[{""page_index"":0,""viewing_time"":22154}]","","","","","","",""
"","","","","","instructions","3","44533","0.0-3.0-0.0","9241","","[{""page_index"":0,""viewing_time"":4086},{""page_index"":1,""viewing_time"":2258},{""page_index"":2,""viewing_time"":2896}]","","","","","","",""
"","","","","","KiN_response","4","53843","0.0-3.0-1.0","","Can I get crayons?","","warmup","","","[""Can I get a teddy bear?"",""Can I get crayons?""]","right","true",""
"","","","","","instructions","5","59562","0.0-3.0-2.0","5718","","[{""page_index"":0,""viewing_time"":3049},{""page_index"":1,""viewing_time"":2669}]","","","","","","",""
"","","","","","instructions","6","65482","0.0-5.0","5919","","[{""page_index"":0,""viewing_time"":5919}]","","","","","","",""
"","","","","","instructions","7","67993","0.0-6.0-0.0","2509","","[{""page_index"":0,""viewing_time"":2509}]","","","","","","",""
"","","","","","instructions","8","84675","0.0-6.0-1.0","16682","","[{""page_index"":0,""viewing_time"":9213},{""page_index"":1,""viewing_time"":5760},{""page_index"":2,""viewing_time"":1709}]","","","","","","",""
"","","","","","survey-text","9","108278","0.0-6.0-2.0","23589","{""Q0"":""i don’t know""}","","","","","","","",""
"","","","","","instructions","10","114636","0.0-6.0-3.0","6357","","[{""page_index"":0,""viewing_time"":6357}]","","","","","","",""
"","","","","","KiN_response","11","128386","0.0-6.0-4.0","","alot","","bedtime","small","none","[""alot"",""alittle""]","left","",""
"","","","","","instructions","12","136639","0.0-6.0-5.0","8252","","[{""page_index"":0,""viewing_time"":4224},{""page_index"":1,""viewing_time"":4028}]","","","","","","",""
"","","","","","KiN_response","13","158735","0.0-6.0-6.0","","Can I stay up for 10 more minutes after bedtime?","","bedtime","small","none","[""If I wake up early tomorrow, can I stay up for 10 more minutes after bedtime?"",""Can I stay up for 10 more minutes after bedtime?""]","right","",""
"","","","","","html-button-response","14","179892","0.0-6.0-7.0","21154","0","","","","","","","","
          <span style=""font-size: 2vw; font-weight:bold;"">If I wake up early tomorrow, can I stay up for 10 more minutes after bedtime?</span><br><br>
          <img style = 'width: 10vw;' src=""stim/more-stim/bedtime-agent.png""> 
            "
"","","","","","instructions","15","181947","0.0-6.0-8.0","2055","","[{""page_index"":0,""viewing_time"":2055}]","","","","","","",""
"","","","","","html-button-response","16","196317","0.0-6.0-9.0","14369","2","","","","","","","","
          <span style=""font-size: 2vw; font-weight:bold;"">Can I stay up for 10 more minutes after bedtime?</span><br><br>
          <img style = 'width: 10vw;' src=""stim/more-stim/bedtime-agent.png""> 
        "
"","","","","","instructions","17","199194","0.0-6.0-10.0","2876","","[{""page_index"":0,""viewing_time"":2876}]","","","","","","",""
"","","","","","instructions","18","203746","0.0-6.0-0.1","4550","","[{""page_index"":0,""viewing_time"":4550}]","","","","","","",""
