"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","time_elapsed","internal_node_id","rt","response","view_history","scenario","ask_size","interaction_history","buttons","button_pressed","correct","stimulus"
"true","false","[]","[]","[]","preload","0","12","0.0-0.0","","","","","","","","","",""
"","","","","","survey-text","1","5429","0.0-1.0","5415","{""Q0"":""p066""}","","","","","","","",""
"","","","","","instructions","2","49223","0.0-2.0","43795","","[{""page_index"":0,""viewing_time"":43795}]","","","","","","",""
"","","","","","instructions","3","62565","0.0-3.0-0.0","13341","","[{""page_index"":0,""viewing_time"":5502},{""page_index"":1,""viewing_time"":3287},{""page_index"":2,""viewing_time"":4552}]","","","","","","",""
"","","","","","KiN_response","4","73442","0.0-3.0-1.0","","Can I get crayons?","","warmup","","","[""Can I get crayons?"",""Can I get a teddy bear?""]","left","true",""
"","","","","","instructions","5","83593","0.0-3.0-2.0","10150","","[{""page_index"":0,""viewing_time"":6977},{""page_index"":1,""viewing_time"":3173}]","","","","","","",""
"","","","","","instructions","6","90591","0.0-5.0","6996","","[{""page_index"":0,""viewing_time"":6996}]","","","","","","",""
"","","","","","instructions","7","95441","0.0-6.0-0.0","4849","","[{""page_index"":0,""viewing_time"":4849}]","","","","","","",""
"","","","","","instructions","8","108315","0.0-6.0-1.0","12895","","[{""page_index"":0,""viewing_time"":6595},{""page_index"":1,""viewing_time"":3185},{""page_index"":2,""viewing_time"":3115}]","","","","","","",""
"","","","","","survey-text","9","116160","0.0-6.0-2.0","7838","{""Q0"":""1""}","","","","","","","",""
"","","","","","instructions","10","121895","0.0-6.0-3.0","5738","","[{""page_index"":0,""viewing_time"":5738}]","","","","","","",""
"","","","","","KiN_response","11","130983","0.0-6.0-4.0","","alot","","toy","big","failed","[""alittle"",""alot""]","right","",""
"","","","","","instructions","12","153021","0.0-6.0-5.0","22041","","[{""page_index"":0,""viewing_time"":5646},{""page_index"":1,""viewing_time"":4472},{""page_index"":2,""viewing_time"":3717},{""page_index"":3,""viewing_time"":3936},{""page_index"":4,""viewing_time"":4270}]","","","","","","",""
"","","","","","KiN_response","13","163618","0.0-6.0-6.0","","If I share my toys, can I get five more toys?","","toy","big","failed","[""If I share my toys, can I get five more toys?"",""Can I get five more toys?""]","left","",""
"","","","","","html-button-response","14","176009","0.0-6.0-7.0","12387","2","","","","","","","","
          <span style=""font-size: 2vw; font-weight:bold;"">Can I get five more toys?</span><br><br>
          <img style = 'width: 10vw;' src=""stim/more-stim/toy-agent.png""> 
            "
"","","","","","instructions","15","177510","0.0-6.0-8.0","1500","","[{""page_index"":0,""viewing_time"":1500}]","","","","","","",""
"","","","","","html-button-response","16","191125","0.0-6.0-9.0","13614","0","","","","","","","","
          <span style=""font-size: 2vw; font-weight:bold;"">If I share my toys, can I get five more toys?</span><br><br>
          <img style = 'width: 10vw;' src=""stim/more-stim/toy-agent.png""> 
        "
"","","","","","instructions","17","195270","0.0-6.0-10.0","4144","","[{""page_index"":0,""viewing_time"":4143}]","","","","","","",""
"","","","","","instructions","18","200989","0.0-6.0-0.1","5718","","[{""page_index"":0,""viewing_time"":5717}]","","","","","","",""
