"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","time_elapsed","internal_node_id","rt","response","view_history","scenario","ask_size","interaction_history","buttons","button_pressed","correct","stimulus"
"true","false","[]","[]","[]","preload","0","1963","0.0-0.0","","","","","","","","","",""
"","","","","","survey-text","1","232897","0.0-1.0","230939","{""Q0"":""p087""}","","","","","","","",""
"","","","","","instructions","2","234730","0.0-2.0","1832","","[{""page_index"":0,""viewing_time"":1832}]","","","","","","",""
"","","","","","instructions","3","270582","0.0-3.0-0.0","35852","","[{""page_index"":0,""viewing_time"":26602},{""page_index"":1,""viewing_time"":3861},{""page_index"":2,""viewing_time"":5388}]","","","","","","",""
"","","","","","KiN_response","4","281111","0.0-3.0-1.0","","Can I get crayons?","","warmup","","","[""Can I get a teddy bear?"",""Can I get crayons?""]","right","true",""
"","","","","","instructions","5","289608","0.0-3.0-2.0","8496","","[{""page_index"":0,""viewing_time"":5304},{""page_index"":1,""viewing_time"":3192}]","","","","","","",""
"","","","","","instructions","6","297588","0.0-5.0","7979","","[{""page_index"":0,""viewing_time"":7979}]","","","","","","",""
"","","","","","instructions","7","302898","0.0-6.0-0.0","5309","","[{""page_index"":0,""viewing_time"":5309}]","","","","","","",""
"","","","","","instructions","8","331775","0.0-6.0-1.0","28876","","[{""page_index"":0,""viewing_time"":12057},{""page_index"":1,""viewing_time"":3081},{""page_index"":2,""viewing_time"":5092},{""page_index"":3,""viewing_time"":4057},{""page_index"":4,""viewing_time"":4589}]","","","","","","",""
"","","","","","survey-text","9","341275","0.0-6.0-2.0","9557","{""Q0"":""2""}","","","","","","","",""
"","","","","","instructions","10","350468","0.0-6.0-3.0","9192","","[{""page_index"":0,""viewing_time"":9192}]","","","","","","",""
"","","","","","KiN_response","11","365519","0.0-6.0-4.0","","alot","","activity","big","none","[""alittle"",""alot""]","right","",""
"","","","","","instructions","12","374056","0.0-6.0-5.0","8537","","[{""page_index"":0,""viewing_time"":4168},{""page_index"":1,""viewing_time"":4369}]","","","","","","",""
"","","","","","KiN_response","13","397537","0.0-6.0-6.0","","If I clean my room, can I play five more rounds of games?","","activity","big","none","[""Can I play five more rounds of games?"",""If I clean my room, can I play five more rounds of games?""]","right","",""
"","","","","","html-button-response","14","409128","0.0-6.0-7.0","11589","1","","","","","","","","
          <span style=""font-size: 2vw; font-weight:bold;"">If I clean my room, can I play five more rounds of games?</span><br><br>
          <img style = 'width: 10vw;' src=""stim/more-stim/activity-agent.png""> 
            "
