"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","time_elapsed","internal_node_id","rt","response","view_history","scenario","ask_size","interaction_history","buttons","button_pressed","correct","stimulus"
"true","false","[]","[]","[]","preload","0","3816","0.0-0.0","","","","","","","","","",""
"","","","","","survey-text","1","16885","0.0-1.0","13055","{""Q0"":""ipadtesting""}","","","","","","","",""
"","","","","","instructions","2","17793","0.0-2.0","907","","[{""page_index"":0,""viewing_time"":907}]","","","","","","",""
"","","","","","instructions","3","19951","0.0-3.0-0.0","2158","","[{""page_index"":0,""viewing_time"":832},{""page_index"":1,""viewing_time"":698},{""page_index"":2,""viewing_time"":627}]","","","","","","",""
"","","","","","KiN_response","4","21478","0.0-3.0-1.0","","Can I get crayons?","","warmup","","","[""Can I get crayons?"",""Can I get a teddy bear?""]","left","true",""
"","","","","","instructions","5","22453","0.0-3.0-2.0","973","","[{""page_index"":0,""viewing_time"":581},{""page_index"":1,""viewing_time"":392}]","","","","","","",""
"","","","","","instructions","6","23075","0.0-5.0","620","","[{""page_index"":0,""viewing_time"":620}]","","","","","","",""
"","","","","","instructions","7","25776","0.0-6.0-0.0","2700","","[{""page_index"":0,""viewing_time"":2700}]","","","","","","",""
"","","","","","instructions","8","27781","0.0-6.0-1.0","2004","","[{""page_index"":0,""viewing_time"":653},{""page_index"":1,""viewing_time"":533},{""page_index"":2,""viewing_time"":818}]","","","","","","",""
"","","","","","survey-text","9","29934","0.0-6.0-2.0","2142","{""Q0"":""9""}","","","","","","","",""
"","","","","","instructions","10","31158","0.0-6.0-3.0","1223","","[{""page_index"":0,""viewing_time"":1223}]","","","","","","",""
"","","","","","KiN_response","11","32692","0.0-6.0-4.0","","alot","","bedtime","big","none","[""alittle"",""alot""]","right","",""
"","","","","","instructions","12","34032","0.0-6.0-5.0","1339","","[{""page_index"":0,""viewing_time"":946},{""page_index"":1,""viewing_time"":393}]","","","","","","",""
"","","","","","KiN_response","13","35251","0.0-6.0-6.0","","If I wake up early tomorrow, can I stay up for 1 more hour after bedtime?","","bedtime","big","none","[""Can I stay up for 1 more hour after bedtime?"",""If I wake up early tomorrow, can I stay up for 1 more hour after bedtime?""]","right","",""
"","","","","","html-button-response","14","63518","0.0-6.0-7.0","28265","1","","","","","","","","
          <span style=""font-size: 2vw; font-weight:bold;"">If I wake up early tomorrow, can I stay up for 1 more hour after bedtime?</span><br><br>
          <img style = 'width: 10vw;' src=""stim/more-stim/bedtime-agent.png""> 
            "
"","","","","","instructions","15","64410","0.0-6.0-8.0","891","","[{""page_index"":0,""viewing_time"":891}]","","","","","","",""
"","","","","","html-button-response","16","80687","0.0-6.0-9.0","16275","2","","","","","","","","
          <span style=""font-size: 2vw; font-weight:bold;"">Can I stay up for 1 more hour after bedtime?</span><br><br>
          <img style = 'width: 10vw;' src=""stim/more-stim/bedtime-agent.png""> 
        "
"","","","","","instructions","17","81502","0.0-6.0-10.0","814","","[{""page_index"":0,""viewing_time"":814}]","","","","","","",""
"","","","","","instructions","18","82279","0.0-6.0-0.1","776","","[{""page_index"":0,""viewing_time"":776}]","","","","","","",""
"","","","","","instructions","19","85431","0.0-6.0-1.1","3151","","[{""page_index"":0,""viewing_time"":674},{""page_index"":1,""viewing_time"":618},{""page_index"":2,""viewing_time"":667},{""page_index"":3,""viewing_time"":600},{""page_index"":4,""viewing_time"":591}]","","","","","","",""
"","","","","","survey-text","20","87554","0.0-6.0-2.1","2111","{""Q0"":""3""}","","","","","","","",""
"","","","","","instructions","21","88330","0.0-6.0-3.1","776","","[{""page_index"":0,""viewing_time"":776}]","","","","","","",""
"","","","","","KiN_response","22","90542","0.0-6.0-4.1","","alot","","food","big","failed","[""alot"",""alittle""]","left","",""
"","","","","","instructions","23","112373","0.0-6.0-5.1","21831","","[{""page_index"":0,""viewing_time"":642},{""page_index"":1,""viewing_time"":19103},{""page_index"":2,""viewing_time"":667},{""page_index"":3,""viewing_time"":699},{""page_index"":4,""viewing_time"":720}]","","","","","","",""
"","","","","","KiN_response","24","113873","0.0-6.0-6.1","","If I brush my teeth, can I have ten more candies?","","food","big","failed","[""If I brush my teeth, can I have ten more candies?"",""Can I have ten more candies?""]","left","",""
"","","","","","html-button-response","25","127988","0.0-6.0-7.1","14114","1","","","","","","","","
          <span style=""font-size: 2vw; font-weight:bold;"">If I brush my teeth, can I have ten more candies?</span><br><br>
          <img style = 'width: 10vw;' src=""stim/more-stim/food-agent.png""> 
            "
"","","","","","instructions","26","128789","0.0-6.0-8.1","800","","[{""page_index"":0,""viewing_time"":800}]","","","","","","",""
"","","","","","html-button-response","27","154791","0.0-6.0-9.1","26001","2","","","","","","","","
          <span style=""font-size: 2vw; font-weight:bold;"">Can I have ten more candies?</span><br><br>
          <img style = 'width: 10vw;' src=""stim/more-stim/food-agent.png""> 
        "
"","","","","","instructions","28","155637","0.0-6.0-10.1","842","","[{""page_index"":0,""viewing_time"":841}]","","","","","","",""
"","","","","","instructions","29","156504","0.0-6.0-0.2","866","","[{""page_index"":0,""viewing_time"":866}]","","","","","","",""
"","","","","","instructions","30","159816","0.0-6.0-1.2","3311","","[{""page_index"":0,""viewing_time"":675},{""page_index"":1,""viewing_time"":1158},{""page_index"":2,""viewing_time"":510},{""page_index"":3,""viewing_time"":483},{""page_index"":4,""viewing_time"":485}]","","","","","","",""
"","","","","","survey-text","31","162320","0.0-6.0-2.2","2489","{""Q0"":""2""}","","","","","","","",""
"","","","","","instructions","32","163101","0.0-6.0-3.2","780","","[{""page_index"":0,""viewing_time"":780}]","","","","","","",""
"","","","","","KiN_response","33","168343","0.0-6.0-4.2","","alittle","","activity","small","none","[""alittle"",""alot""]","left","",""
"","","","","","instructions","34","169522","0.0-6.0-5.2","1177","","[{""page_index"":0,""viewing_time"":643},{""page_index"":1,""viewing_time"":534}]","","","","","","",""
"","","","","","KiN_response","35","176928","0.0-6.0-6.2","","Can I play one more round of game?","","activity","small","none","[""Can I play one more round of game?"",""If I clean my room, can I play one more round of game?""]","left","",""
"","","","","","html-button-response","36","191951","0.0-6.0-7.2","15022","1","","","","","","","","
          <span style=""font-size: 2vw; font-weight:bold;"">If I clean my room, can I play one more round of game?</span><br><br>
          <img style = 'width: 10vw;' src=""stim/more-stim/activity-agent.png""> 
            "
"","","","","","instructions","37","192658","0.0-6.0-8.2","706","","[{""page_index"":0,""viewing_time"":706}]","","","","","","",""
"","","","","","html-button-response","38","204700","0.0-6.0-9.2","12040","1","","","","","","","","
          <span style=""font-size: 2vw; font-weight:bold;"">Can I play one more round of game?</span><br><br>
          <img style = 'width: 10vw;' src=""stim/more-stim/activity-agent.png""> 
        "
"","","","","","instructions","39","205334","0.0-6.0-10.2","633","","[{""page_index"":0,""viewing_time"":633}]","","","","","","",""
"","","","","","instructions","40","206015","0.0-6.0-0.3","680","","[{""page_index"":0,""viewing_time"":680}]","","","","","","",""
"","","","","","instructions","41","208141","0.0-6.0-1.3","2125","","[{""page_index"":0,""viewing_time"":560},{""page_index"":1,""viewing_time"":573},{""page_index"":2,""viewing_time"":992}]","","","","","","",""
"","","","","","survey-text","42","210285","0.0-6.0-2.3","2132","{""Q0"":""7""}","","","","","","","",""
"","","","","","instructions","43","210954","0.0-6.0-3.3","669","","[{""page_index"":0,""viewing_time"":669}]","","","","","","",""
"","","","","","KiN_response","44","212335","0.0-6.0-4.3","","alot","","toy","small","failed","[""alittle"",""alot""]","right","",""
"","","","","","instructions","45","214821","0.0-6.0-5.3","2485","","[{""page_index"":0,""viewing_time"":525},{""page_index"":1,""viewing_time"":442},{""page_index"":2,""viewing_time"":544},{""page_index"":3,""viewing_time"":475},{""page_index"":4,""viewing_time"":499}]","","","","","","",""
"","","","","","KiN_response","46","216828","0.0-6.0-6.3","","Can I get one more toy?","","toy","small","failed","[""If I share my toys, can I get one more toy?"",""Can I get one more toy?""]","right","",""
"","","","","","html-button-response","47","234984","0.0-6.0-7.3","18155","1","","","","","","","","
          <span style=""font-size: 2vw; font-weight:bold;"">If I share my toys, can I get one more toy?</span><br><br>
          <img style = 'width: 10vw;' src=""stim/more-stim/toy-agent.png""> 
            "
"","","","","","instructions","48","236310","0.0-6.0-8.3","1325","","[{""page_index"":0,""viewing_time"":1325}]","","","","","","",""
"","","","","","html-button-response","49","248016","0.0-6.0-9.3","11705","1","","","","","","","","
          <span style=""font-size: 2vw; font-weight:bold;"">Can I get one more toy?</span><br><br>
          <img style = 'width: 10vw;' src=""stim/more-stim/toy-agent.png""> 
        "
"","","","","","instructions","50","248649","0.0-6.0-10.3","632","","[{""page_index"":0,""viewing_time"":632}]","","","","","","",""
