"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","time_elapsed","internal_node_id","rt","response","view_history","scenario","ask_size","interaction_history","buttons","button_pressed","correct","stimulus"
"true","false","[]","[]","[]","preload","0","731","0.0-0.0","","","","","","","","","",""
"","","","","","survey-text","1","132611","0.0-1.0","131882","{""Q0"":""p057""}","","","","","","","",""
"","","","","","instructions","2","147776","0.0-2.0","15164","","[{""page_index"":0,""viewing_time"":15164}]","","","","","","",""
"","","","","","instructions","3","159234","0.0-3.0-0.0","11457","","[{""page_index"":0,""viewing_time"":4642},{""page_index"":1,""viewing_time"":2347},{""page_index"":2,""viewing_time"":4468}]","","","","","","",""
"","","","","","KiN_response","4","175466","0.0-3.0-1.0","","Can I get crayons?","","warmup","","","[""Can I get crayons?"",""Can I get a teddy bear?""]","left","true",""
"","","","","","instructions","5","181978","0.0-3.0-2.0","6512","","[{""page_index"":0,""viewing_time"":3242},{""page_index"":1,""viewing_time"":3270}]","","","","","","",""
"","","","","","instructions","6","189856","0.0-5.0","7878","","[{""page_index"":0,""viewing_time"":7878}]","","","","","","",""
"","","","","","instructions","7","190958","0.0-6.0-0.0","1100","","[{""page_index"":0,""viewing_time"":1100}]","","","","","","",""
"","","","","","instructions","8","215364","0.0-6.0-1.0","24406","","[{""page_index"":0,""viewing_time"":10138},{""page_index"":1,""viewing_time"":3386},{""page_index"":2,""viewing_time"":3244},{""page_index"":3,""viewing_time"":3868},{""page_index"":4,""viewing_time"":3770}]","","","","","","",""
"","","","","","survey-text","9","234664","0.0-6.0-2.0","19288","{""Q0"":""3""}","","","","","","","",""
"","","","","","instructions","10","239181","0.0-6.0-3.0","4515","","[{""page_index"":0,""viewing_time"":4514}]","","","","","","",""
"","","","","","KiN_response","11","251513","0.0-6.0-4.0","","alot","","food","big","failed","[""alittle"",""alot""]","right","",""
"","","","","","instructions","12","274382","0.0-6.0-5.0","22869","","[{""page_index"":0,""viewing_time"":4897},{""page_index"":1,""viewing_time"":2919},{""page_index"":2,""viewing_time"":4161},{""page_index"":3,""viewing_time"":4922},{""page_index"":4,""viewing_time"":5969}]","","","","","","",""
"","","","","","KiN_response","13","310689","0.0-6.0-6.0","","Can I have ten more candies?","","food","big","failed","[""Can I have ten more candies?"",""If I brush my teeth, can I have ten more candies?""]","left","",""
"","","","","","html-button-response","14","320366","0.0-6.0-7.0","9674","2","","","","","","","","
          <span style=""font-size: 2vw; font-weight:bold;"">If I brush my teeth, can I have ten more candies?</span><br><br>
          <img style = 'width: 10vw;' src=""stim/more-stim/food-agent.png""> 
            "
"","","","","","instructions","15","321524","0.0-6.0-8.0","1157","","[{""page_index"":0,""viewing_time"":1156}]","","","","","","",""
"","","","","","html-button-response","16","340135","0.0-6.0-9.0","18609","1","","","","","","","","
          <span style=""font-size: 2vw; font-weight:bold;"">Can I have ten more candies?</span><br><br>
          <img style = 'width: 10vw;' src=""stim/more-stim/food-agent.png""> 
        "
"","","","","","instructions","17","347202","0.0-6.0-10.0","7067","","[{""page_index"":0,""viewing_time"":7067}]","","","","","","",""
"","","","","","instructions","18","347740","0.0-6.0-0.1","537","","[{""page_index"":0,""viewing_time"":537}]","","","","","","",""
"","","","","","instructions","19","371104","0.0-6.0-1.1","23363","","[{""page_index"":0,""viewing_time"":13306},{""page_index"":1,""viewing_time"":5520},{""page_index"":2,""viewing_time"":4536}]","","","","","","",""
"","","","","","survey-text","20","386660","0.0-6.0-2.1","15543","{""Q0"":""9""}","","","","","","","",""
"","","","","","instructions","21","391156","0.0-6.0-3.1","4496","","[{""page_index"":0,""viewing_time"":4495}]","","","","","","",""
"","","","","","KiN_response","22","417207","0.0-6.0-4.1","","alot","","bedtime","big","none","[""alittle"",""alot""]","right","",""
"","","","","","instructions","23","425292","0.0-6.0-5.1","8084","","[{""page_index"":0,""viewing_time"":2730},{""page_index"":1,""viewing_time"":5354}]","","","","","","",""
"","","","","","KiN_response","24","466383","0.0-6.0-6.1","","If I wake up early tomorrow, can I stay up for 1 more hour after bedtime?","","bedtime","big","none","[""Can I stay up for 1 more hour after bedtime?"",""If I wake up early tomorrow, can I stay up for 1 more hour after bedtime?""]","right","",""
"","","","","","html-button-response","25","480408","0.0-6.0-7.1","14023","2","","","","","","","","
          <span style=""font-size: 2vw; font-weight:bold;"">Can I stay up for 1 more hour after bedtime?</span><br><br>
          <img style = 'width: 10vw;' src=""stim/more-stim/bedtime-agent.png""> 
            "
"","","","","","instructions","26","481900","0.0-6.0-8.1","1492","","[{""page_index"":0,""viewing_time"":1492}]","","","","","","",""
