"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","time_elapsed","internal_node_id","rt","response","view_history","scenario","ask_size","interaction_history","buttons","button_pressed","correct","stimulus"
"true","false","[]","[]","[]","preload","0","3006","0.0-0.0","","","","","","","","","",""
"","","","","","survey-text","1","2555195","0.0-1.0","2552333","{""Q0"":""p086""}","","","","","","","",""
"","","","","","instructions","2","2603452","0.0-2.0","48258","","[{""page_index"":0,""viewing_time"":48258}]","","","","","","",""
"","","","","","instructions","3","2612583","0.0-3.0-0.0","9130","","[{""page_index"":0,""viewing_time"":3861},{""page_index"":1,""viewing_time"":2583},{""page_index"":2,""viewing_time"":2685}]","","","","","","",""
"","","","","","KiN_response","4","2619912","0.0-3.0-1.0","","Can I get crayons?","","warmup","","","[""Can I get a teddy bear?"",""Can I get crayons?""]","right","true",""
"","","","","","instructions","5","2625508","0.0-3.0-2.0","5594","","[{""page_index"":0,""viewing_time"":3050},{""page_index"":1,""viewing_time"":2544}]","","","","","","",""
"","","","","","instructions","6","2631744","0.0-5.0","6235","","[{""page_index"":0,""viewing_time"":6234}]","","","","","","",""
"","","","","","instructions","7","2635154","0.0-6.0-0.0","3408","","[{""page_index"":0,""viewing_time"":3408}]","","","","","","",""
"","","","","","instructions","8","2646202","0.0-6.0-1.0","11048","","[{""page_index"":0,""viewing_time"":5636},{""page_index"":1,""viewing_time"":3111},{""page_index"":2,""viewing_time"":2301}]","","","","","","",""
"","","","","","survey-text","9","2652630","0.0-6.0-2.0","6410","{""Q0"":""1""}","","","","","","","",""
"","","","","","instructions","10","2657776","0.0-6.0-3.0","5145","","[{""page_index"":0,""viewing_time"":5145}]","","","","","","",""
"","","","","","KiN_response","11","2663889","0.0-6.0-4.0","","alot","","toy","big","none","[""alot"",""alittle""]","left","",""
"","","","","","instructions","12","2669834","0.0-6.0-5.0","5943","","[{""page_index"":0,""viewing_time"":2782},{""page_index"":1,""viewing_time"":3161}]","","","","","","",""
"","","","","","KiN_response","13","2678722","0.0-6.0-6.0","","If I share my toys, can I get five more toys?","","toy","big","none","[""If I share my toys, can I get five more toys?"",""Can I get five more toys?""]","left","",""
"","","","","","html-button-response","14","2692682","0.0-6.0-7.0","13959","0","","","","","","","","
          <span style=""font-size: 2vw; font-weight:bold;"">If I share my toys, can I get five more toys?</span><br><br>
          <img style = 'width: 10vw;' src=""stim/more-stim/toy-agent.png""> 
            "
"","","","","","instructions","15","2694128","0.0-6.0-8.0","1444","","[{""page_index"":0,""viewing_time"":1444}]","","","","","","",""
"","","","","","html-button-response","16","2700810","0.0-6.0-9.0","6681","0","","","","","","","","
          <span style=""font-size: 2vw; font-weight:bold;"">Can I get five more toys?</span><br><br>
          <img style = 'width: 10vw;' src=""stim/more-stim/toy-agent.png""> 
        "
"","","","","","instructions","17","2702327","0.0-6.0-10.0","1515","","[{""page_index"":0,""viewing_time"":1515}]","","","","","","",""
"","","","","","instructions","18","2705278","0.0-6.0-0.1","2949","","[{""page_index"":0,""viewing_time"":2948}]","","","","","","",""
"","","","","","instructions","19","2720126","0.0-6.0-1.1","14848","","[{""page_index"":0,""viewing_time"":8014},{""page_index"":1,""viewing_time"":4295},{""page_index"":2,""viewing_time"":2539}]","","","","","","",""
"","","","","","survey-text","20","2727324","0.0-6.0-2.1","7184","{""Q0"":""9:00""}","","","","","","","",""
"","","","","","instructions","21","2731996","0.0-6.0-3.1","4671","","[{""page_index"":0,""viewing_time"":4671}]","","","","","","",""
"","","","","","KiN_response","22","2738949","0.0-6.0-4.1","","alot","","bedtime","small","failed","[""alot"",""alittle""]","left","",""
"","","","","","instructions","23","2758628","0.0-6.0-5.1","19678","","[{""page_index"":0,""viewing_time"":5402},{""page_index"":1,""viewing_time"":2259},{""page_index"":2,""viewing_time"":3953},{""page_index"":3,""viewing_time"":3127},{""page_index"":4,""viewing_time"":4936}]","","","","","","",""
"","","","","","KiN_response","24","2768875","0.0-6.0-6.1","","If I wake up early tomorrow, can I stay up for 10 more minutes after bedtime?","","bedtime","small","failed","[""If I wake up early tomorrow, can I stay up for 10 more minutes after bedtime?"",""Can I stay up for 10 more minutes after bedtime?""]","left","",""
"","","","","","html-button-response","25","2780812","0.0-6.0-7.1","11935","1","","","","","","","","
          <span style=""font-size: 2vw; font-weight:bold;"">If I wake up early tomorrow, can I stay up for 10 more minutes after bedtime?</span><br><br>
          <img style = 'width: 10vw;' src=""stim/more-stim/bedtime-agent.png""> 
            "
"","","","","","instructions","26","2781882","0.0-6.0-8.1","1070","","[{""page_index"":0,""viewing_time"":1070}]","","","","","","",""
"","","","","","html-button-response","27","2790421","0.0-6.0-9.1","8537","1","","","","","","","","
          <span style=""font-size: 2vw; font-weight:bold;"">Can I stay up for 10 more minutes after bedtime?</span><br><br>
          <img style = 'width: 10vw;' src=""stim/more-stim/bedtime-agent.png""> 
        "
"","","","","","instructions","28","2792890","0.0-6.0-10.1","2469","","[{""page_index"":0,""viewing_time"":2469}]","","","","","","",""
"","","","","","instructions","29","2795949","0.0-6.0-0.2","3058","","[{""page_index"":0,""viewing_time"":3058}]","","","","","","",""
"","","","","","instructions","30","2813636","0.0-6.0-1.2","17687","","[{""page_index"":0,""viewing_time"":6746},{""page_index"":1,""viewing_time"":2319},{""page_index"":2,""viewing_time"":3192},{""page_index"":3,""viewing_time"":2677},{""page_index"":4,""viewing_time"":2752}]","","","","","","",""
"","","","","","survey-text","31","2818398","0.0-6.0-2.2","4752","{""Q0"":""2""}","","","","","","","",""
"","","","","","instructions","32","2823305","0.0-6.0-3.2","4906","","[{""page_index"":0,""viewing_time"":4906}]","","","","","","",""
"","","","","","KiN_response","33","2833155","0.0-6.0-4.2","","alittle","","activity","small","none","[""alot"",""alittle""]","right","",""
"","","","","","instructions","34","2839701","0.0-6.0-5.2","6545","","[{""page_index"":0,""viewing_time"":2993},{""page_index"":1,""viewing_time"":3552}]","","","","","","",""
"","","","","","KiN_response","35","2848766","0.0-6.0-6.2","","Can I play one more round of game?","","activity","small","none","[""If I clean my room, can I play one more round of game?"",""Can I play one more round of game?""]","right","",""
"","","","","","html-button-response","36","2853760","0.0-6.0-7.2","4992","0","","","","","","","","
          <span style=""font-size: 2vw; font-weight:bold;"">If I clean my room, can I play one more round of game?</span><br><br>
          <img style = 'width: 10vw;' src=""stim/more-stim/activity-agent.png""> 
            "
"","","","","","instructions","37","2854903","0.0-6.0-8.2","1141","","[{""page_index"":0,""viewing_time"":1141}]","","","","","","",""
"","","","","","html-button-response","38","2858593","0.0-6.0-9.2","3688","0","","","","","","","","
          <span style=""font-size: 2vw; font-weight:bold;"">Can I play one more round of game?</span><br><br>
          <img style = 'width: 10vw;' src=""stim/more-stim/activity-agent.png""> 
        "
"","","","","","instructions","39","2860613","0.0-6.0-10.2","2020","","[{""page_index"":0,""viewing_time"":2020}]","","","","","","",""
"","","","","","instructions","40","2864975","0.0-6.0-0.3","4360","","[{""page_index"":0,""viewing_time"":4360}]","","","","","","",""
"","","","","","instructions","41","2881317","0.0-6.0-1.3","16341","","[{""page_index"":0,""viewing_time"":5438},{""page_index"":1,""viewing_time"":2757},{""page_index"":2,""viewing_time"":2117},{""page_index"":3,""viewing_time"":2311},{""page_index"":4,""viewing_time"":3718}]","","","","","","",""
"","","","","","survey-text","42","2885427","0.0-6.0-2.3","4098","{""Q0"":""3""}","","","","","","","",""
"","","","","","instructions","43","2889589","0.0-6.0-3.3","4160","","[{""page_index"":0,""viewing_time"":4160}]","","","","","","",""
"","","","","","KiN_response","44","2897693","0.0-6.0-4.3","","alot","","food","big","failed","[""alittle"",""alot""]","right","",""
"","","","","","instructions","45","2911668","0.0-6.0-5.3","13975","","[{""page_index"":0,""viewing_time"":2978},{""page_index"":1,""viewing_time"":2042},{""page_index"":2,""viewing_time"":2718},{""page_index"":3,""viewing_time"":3235},{""page_index"":4,""viewing_time"":3001}]","","","","","","",""
"","","","","","KiN_response","46","2916588","0.0-6.0-6.3","","If I brush my teeth, can I have ten more candies?","","food","big","failed","[""Can I have ten more candies?"",""If I brush my teeth, can I have ten more candies?""]","right","",""
"","","","","","html-button-response","47","2922216","0.0-6.0-7.3","5626","0","","","","","","","","
          <span style=""font-size: 2vw; font-weight:bold;"">If I brush my teeth, can I have ten more candies?</span><br><br>
          <img style = 'width: 10vw;' src=""stim/more-stim/food-agent.png""> 
            "
"","","","","","instructions","48","2923301","0.0-6.0-8.3","1084","","[{""page_index"":0,""viewing_time"":1084}]","","","","","","",""
"","","","","","html-button-response","49","2930213","0.0-6.0-9.3","6911","2","","","","","","","","
          <span style=""font-size: 2vw; font-weight:bold;"">Can I have ten more candies?</span><br><br>
          <img style = 'width: 10vw;' src=""stim/more-stim/food-agent.png""> 
        "
"","","","","","instructions","50","2932874","0.0-6.0-10.3","2660","","[{""page_index"":0,""viewing_time"":2660}]","","","","","","",""
