"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","time_elapsed","internal_node_id","rt","response","view_history","scenario","ask_size","interaction_history","buttons","button_pressed","correct","stimulus"
"true","false","[]","[]","[]","preload","0","1530","0.0-0.0","","","","","","","","","",""
"","","","","","survey-text","1","707166","0.0-1.0","705673","{""Q0"":""p092""}","","","","","","","",""
"","","","","","instructions","2","724284","0.0-2.0","17117","","[{""page_index"":0,""viewing_time"":17117}]","","","","","","",""
"","","","","","instructions","3","736082","0.0-3.0-0.0","11795","","[{""page_index"":0,""viewing_time"":3906},{""page_index"":1,""viewing_time"":3847},{""page_index"":2,""viewing_time"":4042}]","","","","","","",""
"","","","","","KiN_response","4","748371","0.0-3.0-1.0","","Can I get crayons?","","warmup","","","[""Can I get crayons?"",""Can I get a teddy bear?""]","left","true",""
"","","","","","instructions","5","755685","0.0-3.0-2.0","7313","","[{""page_index"":0,""viewing_time"":3964},{""page_index"":1,""viewing_time"":3349}]","","","","","","",""
"","","","","","instructions","6","761624","0.0-5.0","5938","","[{""page_index"":0,""viewing_time"":5938}]","","","","","","",""
"","","","","","instructions","7","765699","0.0-6.0-0.0","4074","","[{""page_index"":0,""viewing_time"":4074}]","","","","","","",""
"","","","","","instructions","8","785335","0.0-6.0-1.0","19635","","[{""page_index"":0,""viewing_time"":9878},{""page_index"":1,""viewing_time"":5964},{""page_index"":2,""viewing_time"":3793}]","","","","","","",""
"","","","","","survey-text","9","792454","0.0-6.0-2.0","7156","{""Q0"":""9pm""}","","","","","","","",""
"","","","","","instructions","10","799609","0.0-6.0-3.0","7154","","[{""page_index"":0,""viewing_time"":7154}]","","","","","","",""
"","","","","","KiN_response","11","811991","0.0-6.0-4.0","","alot","","bedtime","big","failed","[""alittle"",""alot""]","right","",""
"","","","","","instructions","12","835576","0.0-6.0-5.0","23584","","[{""page_index"":0,""viewing_time"":4416},{""page_index"":1,""viewing_time"":2704},{""page_index"":2,""viewing_time"":5503},{""page_index"":3,""viewing_time"":5630},{""page_index"":4,""viewing_time"":5331}]","","","","","","",""
"","","","","","KiN_response","13","854650","0.0-6.0-6.0","","Can I stay up for 1 more hour after bedtime?","","bedtime","big","failed","[""Can I stay up for 1 more hour after bedtime?"",""If I wake up early tomorrow, can I stay up for 1 more hour after bedtime?""]","left","",""
"","","","","","html-button-response","14","870710","0.0-6.0-7.0","16056","0","","","","","","","","
          <span style=""font-size: 2vw; font-weight:bold;"">If I wake up early tomorrow, can I stay up for 1 more hour after bedtime?</span><br><br>
          <img style = 'width: 10vw;' src=""stim/more-stim/bedtime-agent.png""> 
            "
"","","","","","instructions","15","872052","0.0-6.0-8.0","1339","","[{""page_index"":0,""viewing_time"":1339}]","","","","","","",""
"","","","","","html-button-response","16","884983","0.0-6.0-9.0","12929","0","","","","","","","","
          <span style=""font-size: 2vw; font-weight:bold;"">Can I stay up for 1 more hour after bedtime?</span><br><br>
          <img style = 'width: 10vw;' src=""stim/more-stim/bedtime-agent.png""> 
        "
"","","","","","instructions","17","888753","0.0-6.0-10.0","3768","","[{""page_index"":0,""viewing_time"":3768}]","","","","","","",""
"","","","","","instructions","18","892996","0.0-6.0-0.1","4242","","[{""page_index"":0,""viewing_time"":4241}]","","","","","","",""
"","","","","","instructions","19","914643","0.0-6.0-1.1","21647","","[{""page_index"":0,""viewing_time"":7412},{""page_index"":1,""viewing_time"":2935},{""page_index"":2,""viewing_time"":3086},{""page_index"":3,""viewing_time"":3714},{""page_index"":4,""viewing_time"":4499}]","","","","","","",""
"","","","","","survey-text","20","925947","0.0-6.0-2.1","11287","{""Q0"":""3""}","","","","","","","",""
"","","","","","instructions","21","932194","0.0-6.0-3.1","6246","","[{""page_index"":0,""viewing_time"":6246}]","","","","","","",""
"","","","","","KiN_response","22","951305","0.0-6.0-4.1","","alittle","","food","big","none","[""alittle"",""alot""]","left","",""
"","","","","","instructions","23","962890","0.0-6.0-5.1","11583","","[{""page_index"":0,""viewing_time"":6126},{""page_index"":1,""viewing_time"":5456}]","","","","","","",""
"","","","","","KiN_response","24","973034","0.0-6.0-6.1","","If I brush my teeth, can I have ten more candies?","","food","big","none","[""Can I have ten more candies?"",""If I brush my teeth, can I have ten more candies?""]","right","",""
"","","","","","html-button-response","25","983107","0.0-6.0-7.1","10069","0","","","","","","","","
          <span style=""font-size: 2vw; font-weight:bold;"">Can I have ten more candies?</span><br><br>
          <img style = 'width: 10vw;' src=""stim/more-stim/food-agent.png""> 
            "
"","","","","","instructions","26","984438","0.0-6.0-8.1","1330","","[{""page_index"":0,""viewing_time"":1330}]","","","","","","",""
"","","","","","html-button-response","27","990150","0.0-6.0-9.1","5710","0","","","","","","","","
          <span style=""font-size: 2vw; font-weight:bold;"">If I brush my teeth, can I have ten more candies?</span><br><br>
          <img style = 'width: 10vw;' src=""stim/more-stim/food-agent.png""> 
        "
"","","","","","instructions","28","993713","0.0-6.0-10.1","3562","","[{""page_index"":0,""viewing_time"":3562}]","","","","","","",""
"","","","","","instructions","29","998374","0.0-6.0-0.2","4660","","[{""page_index"":0,""viewing_time"":4660}]","","","","","","",""
"","","","","","instructions","30","1021045","0.0-6.0-1.2","22671","","[{""page_index"":0,""viewing_time"":7402},{""page_index"":1,""viewing_time"":3528},{""page_index"":2,""viewing_time"":3435},{""page_index"":3,""viewing_time"":4643},{""page_index"":4,""viewing_time"":3663}]","","","","","","",""
"","","","","","survey-text","31","1032180","0.0-6.0-2.2","11118","{""Q0"":""2""}","","","","","","","",""
"","","","","","instructions","32","1038864","0.0-6.0-3.2","6683","","[{""page_index"":0,""viewing_time"":6683}]","","","","","","",""
"","","","","","KiN_response","33","1048869","0.0-6.0-4.2","","alittle","","activity","small","none","[""alot"",""alittle""]","right","",""
"","","","","","instructions","34","1056799","0.0-6.0-5.2","7930","","[{""page_index"":0,""viewing_time"":3461},{""page_index"":1,""viewing_time"":4469}]","","","","","","",""
"","","","","","KiN_response","35","1075685","0.0-6.0-6.2","","If I clean my room, can I play one more round of game?","","activity","small","none","[""If I clean my room, can I play one more round of game?"",""Can I play one more round of game?""]","left","",""
"","","","","","html-button-response","36","1078399","0.0-6.0-7.2","2711","0","","","","","","","","
          <span style=""font-size: 2vw; font-weight:bold;"">Can I play one more round of game?</span><br><br>
          <img style = 'width: 10vw;' src=""stim/more-stim/activity-agent.png""> 
            "
"","","","","","instructions","37","1090061","0.0-6.0-8.2","11663","","[{""page_index"":0,""viewing_time"":11663}]","","","","","","",""
"","","","","","html-button-response","38","1096445","0.0-6.0-9.2","6377","0","","","","","","","","
          <span style=""font-size: 2vw; font-weight:bold;"">If I clean my room, can I play one more round of game?</span><br><br>
          <img style = 'width: 10vw;' src=""stim/more-stim/activity-agent.png""> 
        "
