"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","time_elapsed","internal_node_id","rt","response","view_history","scenario","ask_size","interaction_history","buttons","button_pressed","correct","stimulus"
"true","false","[]","[]","[]","preload","0","1226","0.0-0.0","","","","","","","","","",""
"","","","","","survey-text","1","5380","0.0-1.0","4149","{""Q0"":""p078""}","","","","","","","",""
"","","","","","instructions","2","14020","0.0-2.0","8639","","[{""page_index"":0,""viewing_time"":8639}]","","","","","","",""
"","","","","","instructions","3","23874","0.0-3.0-0.0","9854","","[{""page_index"":0,""viewing_time"":3468},{""page_index"":1,""viewing_time"":2899},{""page_index"":2,""viewing_time"":3487}]","","","","","","",""
"","","","","","KiN_response","4","34314","0.0-3.0-1.0","","Can I get crayons?","","warmup","","","[""Can I get crayons?"",""Can I get a teddy bear?""]","left","true",""
"","","","","","instructions","5","40444","0.0-3.0-2.0","6129","","[{""page_index"":0,""viewing_time"":3951},{""page_index"":1,""viewing_time"":2178}]","","","","","","",""
"","","","","","instructions","6","46430","0.0-5.0","5985","","[{""page_index"":0,""viewing_time"":5985}]","","","","","","",""
"","","","","","instructions","7","49054","0.0-6.0-0.0","2623","","[{""page_index"":0,""viewing_time"":2623}]","","","","","","",""
"","","","","","instructions","8","65583","0.0-6.0-1.0","16529","","[{""page_index"":0,""viewing_time"":5580},{""page_index"":1,""viewing_time"":2635},{""page_index"":2,""viewing_time"":2176},{""page_index"":3,""viewing_time"":2784},{""page_index"":4,""viewing_time"":3354}]","","","","","","",""
"","","","","","survey-text","9","70892","0.0-6.0-2.0","5297","{""Q0"":""3""}","","","","","","","",""
"","","","","","instructions","10","74696","0.0-6.0-3.0","3802","","[{""page_index"":0,""viewing_time"":3802}]","","","","","","",""
"","","","","","KiN_response","11","94066","0.0-6.0-4.0","","alot","","food","small","failed","[""alot"",""alittle""]","left","",""
"","","","","","instructions","12","109406","0.0-6.0-5.0","15340","","[{""page_index"":0,""viewing_time"":2934},{""page_index"":1,""viewing_time"":2395},{""page_index"":2,""viewing_time"":3483},{""page_index"":3,""viewing_time"":3267},{""page_index"":4,""viewing_time"":3261}]","","","","","","",""
"","","","","","KiN_response","13","118420","0.0-6.0-6.0","","Can I have one more candy?","","food","small","failed","[""Can I have one more candy?"",""If I brush my teeth, can I have one more candy?""]","left","",""
"","","","","","html-button-response","14","129419","0.0-6.0-7.0","10997","2","","","","","","","","
          <span style=""font-size: 2vw; font-weight:bold;"">If I brush my teeth, can I have one more candy?</span><br><br>
          <img style = 'width: 10vw;' src=""stim/more-stim/food-agent.png""> 
            "
"","","","","","instructions","15","131069","0.0-6.0-8.0","1650","","[{""page_index"":0,""viewing_time"":1650}]","","","","","","",""
"","","","","","html-button-response","16","138791","0.0-6.0-9.0","7719","1","","","","","","","","
          <span style=""font-size: 2vw; font-weight:bold;"">Can I have one more candy?</span><br><br>
          <img style = 'width: 10vw;' src=""stim/more-stim/food-agent.png""> 
        "
"","","","","","instructions","17","141568","0.0-6.0-10.0","2776","","[{""page_index"":0,""viewing_time"":2776}]","","","","","","",""
"","","","","","instructions","18","145186","0.0-6.0-0.1","3617","","[{""page_index"":0,""viewing_time"":3617}]","","","","","","",""
"","","","","","instructions","19","163430","0.0-6.0-1.1","18244","","[{""page_index"":0,""viewing_time"":6353},{""page_index"":1,""viewing_time"":2677},{""page_index"":2,""viewing_time"":3685},{""page_index"":3,""viewing_time"":2452},{""page_index"":4,""viewing_time"":3076}]","","","","","","",""
"","","","","","survey-text","20","169214","0.0-6.0-2.1","5771","{""Q0"":""2""}","","","","","","","",""
"","","","","","instructions","21","174160","0.0-6.0-3.1","4947","","[{""page_index"":0,""viewing_time"":4947}]","","","","","","",""
"","","","","","KiN_response","22","182482","0.0-6.0-4.1","","alot","","activity","big","failed","[""alot"",""alittle""]","left","",""
"","","","","","instructions","23","199766","0.0-6.0-5.1","17285","","[{""page_index"":0,""viewing_time"":2501},{""page_index"":1,""viewing_time"":2935},{""page_index"":2,""viewing_time"":3744},{""page_index"":3,""viewing_time"":4019},{""page_index"":4,""viewing_time"":4086}]","","","","","","",""
"","","","","","KiN_response","24","211707","0.0-6.0-6.1","","If I clean my room, can I play five more rounds of games?","","activity","big","failed","[""Can I play five more rounds of games?"",""If I clean my room, can I play five more rounds of games?""]","right","",""
"","","","","","html-button-response","25","219245","0.0-6.0-7.1","7536","1","","","","","","","","
          <span style=""font-size: 2vw; font-weight:bold;"">Can I play five more rounds of games?</span><br><br>
          <img style = 'width: 10vw;' src=""stim/more-stim/activity-agent.png""> 
            "
"","","","","","instructions","26","220429","0.0-6.0-8.1","1178","","[{""page_index"":0,""viewing_time"":1177}]","","","","","","",""
"","","","","","html-button-response","27","228630","0.0-6.0-9.1","8194","1","","","","","","","","
          <span style=""font-size: 2vw; font-weight:bold;"">If I clean my room, can I play five more rounds of games?</span><br><br>
          <img style = 'width: 10vw;' src=""stim/more-stim/activity-agent.png""> 
        "
"","","","","","instructions","28","231594","0.0-6.0-10.1","2963","","[{""page_index"":0,""viewing_time"":2963}]","","","","","","",""
"","","","","","instructions","29","238032","0.0-6.0-0.2","6436","","[{""page_index"":0,""viewing_time"":6436}]","","","","","","",""
"","","","","","instructions","30","253816","0.0-6.0-1.2","15784","","[{""page_index"":0,""viewing_time"":8177},{""page_index"":1,""viewing_time"":5071},{""page_index"":2,""viewing_time"":2536}]","","","","","","",""
"","","","","","survey-text","31","259316","0.0-6.0-2.2","5483","{""Q0"":""9pm""}","","","","","","","",""
"","","","","","instructions","32","265354","0.0-6.0-3.2","6037","","[{""page_index"":0,""viewing_time"":6037}]","","","","","","",""
"","","","","","KiN_response","33","277945","0.0-6.0-4.2","","alittle","","bedtime","small","none","[""alittle"",""alot""]","left","",""
"","","","","","instructions","34","284391","0.0-6.0-5.2","6444","","[{""page_index"":0,""viewing_time"":2607},{""page_index"":1,""viewing_time"":3837}]","","","","","","",""
