"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","time_elapsed","internal_node_id","rt","response","view_history","scenario","ask_size","interaction_history","buttons","button_pressed","correct","stimulus"
"true","false","[]","[]","[]","preload","0","306","0.0-0.0","","","","","","","","","",""
"","","","","","survey-text","1","2059386","0.0-1.0","1634550","{""Q0"":""p099""}","","","","","","","",""
"","","","","","instructions","2","2068681","0.0-2.0","9293","","[{""page_index"":0,""viewing_time"":9293}]","","","","","","",""
"","","","","","instructions","3","2087324","0.0-3.0-0.0","18644","","[{""page_index"":0,""viewing_time"":11673},{""page_index"":1,""viewing_time"":2835},{""page_index"":2,""viewing_time"":4136}]","","","","","","",""
"","","","","","KiN_response","4","2093603","0.0-3.0-1.0","","Can I get crayons?","","warmup","","","[""Can I get crayons?"",""Can I get a teddy bear?""]","left","true",""
"","","","","","instructions","5","2103443","0.0-3.0-2.0","9840","","[{""page_index"":0,""viewing_time"":4129},{""page_index"":1,""viewing_time"":5710}]","","","","","","",""
"","","","","","instructions","6","2108261","0.0-5.0","4817","","[{""page_index"":0,""viewing_time"":4817}]","","","","","","",""
"","","","","","instructions","7","2112648","0.0-6.0-0.0","4384","","[{""page_index"":0,""viewing_time"":4384}]","","","","","","",""
"","","","","","instructions","8","2126037","0.0-6.0-1.0","13389","","[{""page_index"":0,""viewing_time"":8235},{""page_index"":1,""viewing_time"":2727},{""page_index"":2,""viewing_time"":2427}]","","","","","","",""
"","","","","","survey-text","9","2132033","0.0-6.0-2.0","5981","{""Q0"":""1""}","","","","","","","",""
"","","","","","instructions","10","2136478","0.0-6.0-3.0","4445","","[{""page_index"":0,""viewing_time"":4445}]","","","","","","",""
"","","","","","KiN_response","11","2142981","0.0-6.0-4.0","","alittle","","toy","small","failed","[""alot"",""alittle""]","right","",""
"","","","","","instructions","12","2159423","0.0-6.0-5.0","16441","","[{""page_index"":0,""viewing_time"":3885},{""page_index"":1,""viewing_time"":2810},{""page_index"":2,""viewing_time"":3125},{""page_index"":3,""viewing_time"":2836},{""page_index"":4,""viewing_time"":3785}]","","","","","","",""
"","","","","","KiN_response","13","2166570","0.0-6.0-6.0","","If I share my toys, can I get one more toy?","","toy","small","failed","[""Can I get one more toy?"",""If I share my toys, can I get one more toy?""]","right","",""
"","","","","","html-button-response","14","2174723","0.0-6.0-7.0","8149","1","","","","","","","","
          <span style=""font-size: 2vw; font-weight:bold;"">If I share my toys, can I get one more toy?</span><br><br>
          <img style = 'width: 10vw;' src=""stim/more-stim/toy-agent.png""> 
            "
"","","","","","instructions","15","2176533","0.0-6.0-8.0","1810","","[{""page_index"":0,""viewing_time"":1810}]","","","","","","",""
"","","","","","html-button-response","16","2182155","0.0-6.0-9.0","5618","2","","","","","","","","
          <span style=""font-size: 2vw; font-weight:bold;"">Can I get one more toy?</span><br><br>
          <img style = 'width: 10vw;' src=""stim/more-stim/toy-agent.png""> 
        "
"","","","","","instructions","17","2185996","0.0-6.0-10.0","3840","","[{""page_index"":0,""viewing_time"":3840}]","","","","","","",""
"","","","","","instructions","18","2189968","0.0-6.0-0.1","3969","","[{""page_index"":0,""viewing_time"":3969}]","","","","","","",""
"","","","","","instructions","19","2205533","0.0-6.0-1.1","15565","","[{""page_index"":0,""viewing_time"":8469},{""page_index"":1,""viewing_time"":4245},{""page_index"":2,""viewing_time"":2851}]","","","","","","",""
"","","","","","survey-text","20","2217969","0.0-6.0-2.1","12423","{""Q0"":""12""}","","","","","","","",""
"","","","","","instructions","21","2225470","0.0-6.0-3.1","7500","","[{""page_index"":0,""viewing_time"":7500}]","","","","","","",""
"","","","","","KiN_response","22","2235059","0.0-6.0-4.1","","alot","","bedtime","big","failed","[""alittle"",""alot""]","right","",""
"","","","","","instructions","23","2252944","0.0-6.0-5.1","17885","","[{""page_index"":0,""viewing_time"":3384},{""page_index"":1,""viewing_time"":2001},{""page_index"":2,""viewing_time"":4536},{""page_index"":3,""viewing_time"":3303},{""page_index"":4,""viewing_time"":4661}]","","","","","","",""
"","","","","","KiN_response","24","2264067","0.0-6.0-6.1","","If I wake up early tomorrow, can I stay up for 1 more hour after bedtime?","","bedtime","big","failed","[""Can I stay up for 1 more hour after bedtime?"",""If I wake up early tomorrow, can I stay up for 1 more hour after bedtime?""]","right","",""
"","","","","","html-button-response","25","2275207","0.0-6.0-7.1","11140","1","","","","","","","","
          <span style=""font-size: 2vw; font-weight:bold;"">If I wake up early tomorrow, can I stay up for 1 more hour after bedtime?</span><br><br>
          <img style = 'width: 10vw;' src=""stim/more-stim/bedtime-agent.png""> 
            "
"","","","","","instructions","26","2276276","0.0-6.0-8.1","1067","","[{""page_index"":0,""viewing_time"":1067}]","","","","","","",""
"","","","","","html-button-response","27","2283025","0.0-6.0-9.1","6748","2","","","","","","","","
          <span style=""font-size: 2vw; font-weight:bold;"">Can I stay up for 1 more hour after bedtime?</span><br><br>
          <img style = 'width: 10vw;' src=""stim/more-stim/bedtime-agent.png""> 
        "
"","","","","","instructions","28","2287756","0.0-6.0-10.1","4730","","[{""page_index"":0,""viewing_time"":4730}]","","","","","","",""
"","","","","","instructions","29","2291686","0.0-6.0-0.2","3929","","[{""page_index"":0,""viewing_time"":3929}]","","","","","","",""
"","","","","","instructions","30","2310294","0.0-6.0-1.2","18608","","[{""page_index"":0,""viewing_time"":6767},{""page_index"":1,""viewing_time"":2601},{""page_index"":2,""viewing_time"":3178},{""page_index"":3,""viewing_time"":2943},{""page_index"":4,""viewing_time"":3119}]","","","","","","",""
"","","","","","survey-text","31","2316178","0.0-6.0-2.2","5872","{""Q0"":""2""}","","","","","","","",""
"","","","","","instructions","32","2320442","0.0-6.0-3.2","4263","","[{""page_index"":0,""viewing_time"":4262}]","","","","","","",""
"","","","","","KiN_response","33","2331813","0.0-6.0-4.2","","alittle","","activity","small","none","[""alot"",""alittle""]","right","",""
"","","","","","instructions","34","2338435","0.0-6.0-5.2","6621","","[{""page_index"":0,""viewing_time"":3144},{""page_index"":1,""viewing_time"":3476}]","","","","","","",""
"","","","","","KiN_response","35","2347857","0.0-6.0-6.2","","If I clean my room, can I play one more round of game?","","activity","small","none","[""If I clean my room, can I play one more round of game?"",""Can I play one more round of game?""]","left","",""
"","","","","","html-button-response","36","2357146","0.0-6.0-7.2","9287","0","","","","","","","","
          <span style=""font-size: 2vw; font-weight:bold;"">If I clean my room, can I play one more round of game?</span><br><br>
          <img style = 'width: 10vw;' src=""stim/more-stim/activity-agent.png""> 
            "
