"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","time_elapsed","internal_node_id","rt","response","view_history","scenario","ask_size","interaction_history","buttons","button_pressed","correct","stimulus"
"true","false","[]","[]","[]","preload","0","882","0.0-0.0","","","","","","","","","",""
"","","","","","survey-text","1","4721318","0.0-1.0","4720747","{""Q0"":""p050""}","","","","","","","",""
"","","","","","instructions","2","4724824","0.0-2.0","3505","","[{""page_index"":0,""viewing_time"":3505}]","","","","","","",""
"","","","","","instructions","3","4755175","0.0-3.0-0.0","30351","","[{""page_index"":0,""viewing_time"":24177},{""page_index"":1,""viewing_time"":1862},{""page_index"":2,""viewing_time"":4311}]","","","","","","",""
"","","","","","KiN_response","4","4769967","0.0-3.0-1.0","","Can I get crayons?","","warmup","","","[""Can I get crayons?"",""Can I get a teddy bear?""]","left","true",""
"","","","","","instructions","5","4784268","0.0-3.0-2.0","14300","","[{""page_index"":0,""viewing_time"":9188},{""page_index"":1,""viewing_time"":5111}]","","","","","","",""
"","","","","","instructions","6","4789237","0.0-5.0","4969","","[{""page_index"":0,""viewing_time"":4968}]","","","","","","",""
"","","","","","instructions","7","4797916","0.0-6.0-0.0","8676","","[{""page_index"":0,""viewing_time"":8676}]","","","","","","",""
"","","","","","instructions","8","4812859","0.0-6.0-1.0","14942","","[{""page_index"":0,""viewing_time"":7379},{""page_index"":1,""viewing_time"":3642},{""page_index"":2,""viewing_time"":3921}]","","","","","","",""
"","","","","","survey-text","9","4819073","0.0-6.0-2.0","6197","{""Q0"":""1""}","","","","","","","",""
"","","","","","instructions","10","4826825","0.0-6.0-3.0","7752","","[{""page_index"":0,""viewing_time"":7751}]","","","","","","",""
"","","","","","KiN_response","11","4841708","0.0-6.0-4.0","","alittle","","toy","big","none","[""alittle"",""alot""]","left","",""
"","","","","","instructions","12","4850481","0.0-6.0-5.0","8772","","[{""page_index"":0,""viewing_time"":4202},{""page_index"":1,""viewing_time"":4570}]","","","","","","",""
"","","","","","KiN_response","13","4861337","0.0-6.0-6.0","","If I share my toys, can I get five more toys?","","toy","big","none","[""If I share my toys, can I get five more toys?"",""Can I get five more toys?""]","left","",""
"","","","","","html-button-response","14","4874387","0.0-6.0-7.0","13047","0","","","","","","","","
          <span style=""font-size: 2vw; font-weight:bold;"">If I share my toys, can I get five more toys?</span><br><br>
          <img style = 'width: 10vw;' src=""stim/more-stim/toy-agent.png""> 
            "
"","","","","","instructions","15","4875671","0.0-6.0-8.0","1282","","[{""page_index"":0,""viewing_time"":1282}]","","","","","","",""
"","","","","","html-button-response","16","4887478","0.0-6.0-9.0","11804","0","","","","","","","","
          <span style=""font-size: 2vw; font-weight:bold;"">Can I get five more toys?</span><br><br>
          <img style = 'width: 10vw;' src=""stim/more-stim/toy-agent.png""> 
        "
"","","","","","instructions","17","4891230","0.0-6.0-10.0","3751","","[{""page_index"":0,""viewing_time"":3751}]","","","","","","",""
"","","","","","instructions","18","4897650","0.0-6.0-0.1","6418","","[{""page_index"":0,""viewing_time"":6418}]","","","","","","",""
"","","","","","instructions","19","4928641","0.0-6.0-1.1","30991","","[{""page_index"":0,""viewing_time"":10749},{""page_index"":1,""viewing_time"":4501},{""page_index"":2,""viewing_time"":4767},{""page_index"":3,""viewing_time"":3922},{""page_index"":4,""viewing_time"":7052}]","","","","","","",""
"","","","","","survey-text","20","4936579","0.0-6.0-2.1","7931","{""Q0"":""1""}","","","","","","","",""
"","","","","","instructions","21","4950990","0.0-6.0-3.1","14411","","[{""page_index"":0,""viewing_time"":14411}]","","","","","","",""
"","","","","","KiN_response","22","4959338","0.0-6.0-4.1","","alot","","food","big","failed","[""alot"",""alittle""]","left","",""
"","","","","","instructions","23","4980058","0.0-6.0-5.1","20720","","[{""page_index"":0,""viewing_time"":3125},{""page_index"":1,""viewing_time"":2694},{""page_index"":2,""viewing_time"":4928},{""page_index"":3,""viewing_time"":5161},{""page_index"":4,""viewing_time"":4812}]","","","","","","",""
"","","","","","KiN_response","24","4990943","0.0-6.0-6.1","","If I brush my teeth, can I have ten more candies?","","food","big","failed","[""Can I have ten more candies?"",""If I brush my teeth, can I have ten more candies?""]","right","",""
"","","","","","html-button-response","25","4999353","0.0-6.0-7.1","8408","1","","","","","","","","
          <span style=""font-size: 2vw; font-weight:bold;"">If I brush my teeth, can I have ten more candies?</span><br><br>
          <img style = 'width: 10vw;' src=""stim/more-stim/food-agent.png""> 
            "
"","","","","","instructions","26","5001036","0.0-6.0-8.1","1681","","[{""page_index"":0,""viewing_time"":1681}]","","","","","","",""
"","","","","","html-button-response","27","5008553","0.0-6.0-9.1","7514","1","","","","","","","","
          <span style=""font-size: 2vw; font-weight:bold;"">Can I have ten more candies?</span><br><br>
          <img style = 'width: 10vw;' src=""stim/more-stim/food-agent.png""> 
        "
"","","","","","instructions","28","5014311","0.0-6.0-10.1","5757","","[{""page_index"":0,""viewing_time"":5757}]","","","","","","",""
"","","","","","instructions","29","5022441","0.0-6.0-0.2","8130","","[{""page_index"":0,""viewing_time"":8129}]","","","","","","",""
"","","","","","instructions","30","5057103","0.0-6.0-1.2","34662","","[{""page_index"":0,""viewing_time"":16108},{""page_index"":1,""viewing_time"":12958},{""page_index"":2,""viewing_time"":5596}]","","","","","","",""
"","","","","","survey-text","31","5062903","0.0-6.0-2.2","5787","{""Q0"":""9""}","","","","","","","",""
"","","","","","instructions","32","5069292","0.0-6.0-3.2","6390","","[{""page_index"":0,""viewing_time"":6390}]","","","","","","",""
"","","","","","KiN_response","33","5080470","0.0-6.0-4.2","","alittle","","bedtime","small","failed","[""alittle"",""alot""]","left","",""
"","","","","","instructions","34","5100245","0.0-6.0-5.2","19774","","[{""page_index"":0,""viewing_time"":3997},{""page_index"":1,""viewing_time"":2240},{""page_index"":2,""viewing_time"":5592},{""page_index"":3,""viewing_time"":4535},{""page_index"":4,""viewing_time"":3410}]","","","","","","",""
"","","","","","KiN_response","35","5113644","0.0-6.0-6.2","","If I wake up early tomorrow, can I stay up for 10 more minutes after bedtime?","","bedtime","small","failed","[""If I wake up early tomorrow, can I stay up for 10 more minutes after bedtime?"",""Can I stay up for 10 more minutes after bedtime?""]","left","",""
