"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","time_elapsed","internal_node_id","rt","response","view_history","scenario","ask_size","interaction_history","buttons","button_pressed","correct","stimulus"
"true","false","[]","[]","[]","preload","0","5430","0.0-0.0","","","","","","","","","",""
"","","","","","survey-text","1","464577","0.0-1.0","459163","{""Q0"":""p096""}","","","","","","","",""
"","","","","","instructions","2","499563","0.0-2.0","34987","","[{""page_index"":0,""viewing_time"":34986}]","","","","","","",""
"","","","","","instructions","3","524109","0.0-3.0-0.0","24546","","[{""page_index"":0,""viewing_time"":18092},{""page_index"":1,""viewing_time"":2891},{""page_index"":2,""viewing_time"":3563}]","","","","","","",""
"","","","","","KiN_response","4","533015","0.0-3.0-1.0","","Can I get crayons?","","warmup","","","[""Can I get crayons?"",""Can I get a teddy bear?""]","left","true",""
"","","","","","instructions","5","541779","0.0-3.0-2.0","8763","","[{""page_index"":0,""viewing_time"":5557},{""page_index"":1,""viewing_time"":3206}]","","","","","","",""
"","","","","","instructions","6","548858","0.0-5.0","7079","","[{""page_index"":0,""viewing_time"":7078}]","","","","","","",""
"","","","","","instructions","7","552593","0.0-6.0-0.0","3733","","[{""page_index"":0,""viewing_time"":3733}]","","","","","","",""
"","","","","","instructions","8","572512","0.0-6.0-1.0","19918","","[{""page_index"":0,""viewing_time"":6362},{""page_index"":1,""viewing_time"":1564},{""page_index"":2,""viewing_time"":4408},{""page_index"":3,""viewing_time"":3545},{""page_index"":4,""viewing_time"":4039}]","","","","","","",""
"","","","","","survey-text","9","578698","0.0-6.0-2.0","6177","{""Q0"":""3""}","","","","","","","",""
"","","","","","instructions","10","585708","0.0-6.0-3.0","7009","","[{""page_index"":0,""viewing_time"":7009}]","","","","","","",""
"","","","","","KiN_response","11","594621","0.0-6.0-4.0","","alittle","","food","small","failed","[""alittle"",""alot""]","left","",""
"","","","","","instructions","12","615850","0.0-6.0-5.0","21229","","[{""page_index"":0,""viewing_time"":4969},{""page_index"":1,""viewing_time"":5362},{""page_index"":2,""viewing_time"":2544},{""page_index"":3,""viewing_time"":4578},{""page_index"":4,""viewing_time"":3776}]","","","","","","",""
"","","","","","KiN_response","13","625056","0.0-6.0-6.0","","If I brush my teeth, can I have one more candy?","","food","small","failed","[""Can I have one more candy?"",""If I brush my teeth, can I have one more candy?""]","right","",""
"","","","","","html-button-response","14","634397","0.0-6.0-7.0","9338","1","","","","","","","","
          <span style=""font-size: 2vw; font-weight:bold;"">Can I have one more candy?</span><br><br>
          <img style = 'width: 10vw;' src=""stim/more-stim/food-agent.png""> 
            "
"","","","","","instructions","15","635729","0.0-6.0-8.0","1331","","[{""page_index"":0,""viewing_time"":1331}]","","","","","","",""
"","","","","","html-button-response","16","645792","0.0-6.0-9.0","10061","1","","","","","","","","
          <span style=""font-size: 2vw; font-weight:bold;"">If I brush my teeth, can I have one more candy?</span><br><br>
          <img style = 'width: 10vw;' src=""stim/more-stim/food-agent.png""> 
        "
"","","","","","instructions","17","650371","0.0-6.0-10.0","4578","","[{""page_index"":0,""viewing_time"":4577}]","","","","","","",""
"","","","","","instructions","18","658025","0.0-6.0-0.1","7651","","[{""page_index"":0,""viewing_time"":7651}]","","","","","","",""
